dd_recover,dd_warn,dd_hard,vol_upper,vol_scale,annual_return,sharpe_full,max_dd,win_rate,pl_ratio,n_trades,calmar
0.05,0.12,0.18,0.65,0.5,0.74228439119934,2.3730639073190707,-0.1395127501804738,0.5,2.924453360199442,40,5.320548730625492
0.05,0.12,0.2,0.65,0.5,0.74228439119934,2.3730639073190707,-0.1395127501804738,0.5,2.924453360199442,40,5.320548730625492
0.08,0.15,0.18,0.8,0.6,0.8709145071916105,2.4355627796024786,-0.17093892952652934,0.5,2.889871985172698,40,5.094886837708667
0.08,0.15,0.2,0.8,0.6,0.8709145071916105,2.4355627796024786,-0.17093892952652934,0.5,2.889871985172698,40,5.094886837708667
0.1,0.15,0.18,0.8,0.6,0.866256606976834,2.4184121605820725,-0.1709389295265291,0.5,2.881527186547221,40,5.067637923722673
0.1,0.15,0.2,0.8,0.6,0.866256606976834,2.4184121605820725,-0.1709389295265291,0.5,2.881527186547221,40,5.067637923722673
0.08,0.15,0.2,0.8,0.5,0.859746709724216,2.4285011708413307,-0.17093892952652934,0.5,2.895722403745023,40,5.029554748447342
0.08,0.15,0.18,0.8,0.5,0.859746709724216,2.4285011708413307,-0.17093892952652934,0.5,2.895722403745023,40,5.029554748447342
0.1,0.15,0.2,0.8,0.5,0.8551166132845576,2.4111973860651887,-0.1709389295265291,0.5,2.887351064926954,40,5.002468487726069
0.1,0.15,0.18,0.8,0.5,0.8551166132845576,2.4111973860651887,-0.1709389295265291,0.5,2.887351064926954,40,5.002468487726069
0.08,0.12,0.2,0.8,0.6,0.8503205351954775,2.4022067828889875,-0.17093892952652934,0.5,2.8924433598542763,40,4.974411227309683
0.08,0.12,0.18,0.8,0.6,0.8503205351954775,2.4022067828889875,-0.17093892952652934,0.5,2.8924433598542763,40,4.974411227309683
0.08,0.12,0.2,0.8,0.5,0.8392756665457384,2.3949556090531496,-0.17093892952652934,0.5,2.898298984061408,40,4.909798276850016
0.08,0.12,0.18,0.8,0.5,0.8392756665457384,2.3949556090531496,-0.17093892952652934,0.5,2.898298984061408,40,4.909798276850016
0.1,0.12,0.2,0.8,0.6,0.8280572022830217,2.3529639996483986,-0.17093892952652928,0.5,2.8866614488383364,40,4.844169784685235
0.1,0.12,0.18,0.8,0.6,0.8280572022830217,2.3529639996483986,-0.17093892952652928,0.5,2.8866614488383364,40,4.844169784685235
0.1,0.12,0.18,0.8,0.5,0.8171452271417563,2.345357969330772,-0.17093892952652928,0.5,2.892495704117962,40,4.780334266891517
0.1,0.12,0.2,0.8,0.5,0.8171452271417563,2.345357969330772,-0.17093892952652928,0.5,2.892495704117962,40,4.780334266891517
0.08,0.15,0.2,0.65,0.6,0.7869203826959692,2.3594180226502197,-0.16733626859106338,0.5,2.907900630058174,40,4.702628931665839
0.08,0.15,0.18,0.65,0.6,0.7869203826959692,2.3594180226502197,-0.16733626859106338,0.5,2.907900630058174,40,4.702628931665839
0.1,0.15,0.18,0.65,0.6,0.7856952209607373,2.349064596693473,-0.16733626859106318,0.5,2.899495253494016,40,4.695307376463102
