date,close,exp411_equity,exp412_equity,exp411_pos,exp412_pos,dd_control,vol_control,signal_state,regime
2024-04-10,115950.0,1.169977224183895,1.1551728597619721,0.7,0.7,1.0,1.0,fund_only,range
2024-04-11,112500.0,1.1456090051549679,1.1311129851925443,0.7,0.7,1.0,1.0,fund_only,range
2024-04-12,112200.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-15,111750.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-16,108150.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-17,109400.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-18,108400.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-19,107700.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-22,108550.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-23,109150.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-24,110400.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-25,109600.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-26,109900.0,1.1432032262441425,1.12873764792364,0.0,0.0,1.0,1.0,flat,range
2024-04-29,115900.0,1.097113204198553,1.0832308282417147,-0.7,-0.7,1.0,1.0,fund_only,range
2024-04-30,111450.0,1.1265998964425434,1.1029278994720455,-0.7,-0.48999999999999994,0.7,1.0,fund_only,range
2024-05-06,112400.0,1.1198776987652506,1.0983212333688221,-0.7,-0.48999999999999994,0.7,1.0,fund_only,range
2024-05-07,113900.0,1.1094162078070342,1.0911391505705474,-0.7,-0.48999999999999994,0.7,1.0,fund_only,range
2024-05-08,112050.0,1.122029851258396,1.0998232387179767,-0.7,-0.48999999999999994,0.7,1.0,fund_only,range
2024-05-09,111700.0,1.1196735885707534,1.0982064985570614,0.0,0.0,0.7,1.0,flat,range
2024-05-10,108350.0,1.1196735885707534,1.0982064985570614,0.0,0.0,0.7,1.0,flat,range
2024-05-13,107100.0,1.1196735885707534,1.0982064985570614,0.0,0.0,0.7,1.0,flat,range
2024-05-14,105000.0,1.1196735885707534,1.0982064985570614,0.0,0.0,0.7,1.0,flat,range
2024-05-15,103000.0,1.1196735885707534,1.0982064985570614,0.0,0.0,0.7,1.0,flat,range
2024-05-16,104000.0,1.12493170619009,1.1018166125215898,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-17,106450.0,1.1434822626912053,1.1145351783228608,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-20,106000.0,1.140098543454496,1.112226535703601,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-21,106700.0,1.1453688103063138,1.1158255328898872,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-22,106400.0,1.1431145699111467,1.1142882662232065,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-23,106150.0,1.1412344472632665,1.1130053685482786,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-24,107600.0,1.1521468633157603,1.1204551124423299,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-05-27,106200.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-05-28,105000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-05-29,105200.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-05-30,106000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-05-31,104850.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-03,102700.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-04,101850.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-05,99800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-06,101150.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-07,100050.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-11,97000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-12,98450.0,1.1497273549027973,1.1188080434270398,0.0,0.0,0.7,1.0,flat,range
2024-06-13,97800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-14,96900.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-17,95800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-18,92800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-06-19,94000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-20,94400.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-21,91900.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-06-24,88550.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-06-25,90250.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-06-26,92550.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-27,94600.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-06-28,94500.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-01,95650.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-02,94050.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-03,94550.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-04,93950.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-05,93900.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-08,93650.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-09,94150.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-10,91800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-11,92500.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-12,91350.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-15,87950.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-16,88800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-17,86850.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-18,87950.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-19,89800.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-22,88950.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-23,87900.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-24,86900.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-25,87050.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-26,85850.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,range
2024-07-29,83400.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
