date,alpha_t,beta_t,disagreement,deviation
2024-08-14,0.1,0.3,-0.8055555555555556,0.8055555555555556
2024-08-15,0.1,0.3,-0.2222222222222222,0.2222222222222222
2024-08-16,0.1,0.3,0.33333333333333326,0.33333333333333326
2024-08-19,0.1,0.3,0.25555555555555554,0.25555555555555554
2024-08-20,0.1,0.3,0.6611111111111112,0.6611111111111112
2024-08-21,0.1,0.3,0.8166666666666667,0.8166666666666667
2024-08-22,0.1,0.3,-0.711111111111111,0.711111111111111
2024-08-23,0.1,0.3,-0.6555555555555556,0.6555555555555556
2024-08-26,0.1,0.3,0.47777777777777786,0.47777777777777786
2024-08-27,0.1,0.3,0.6888888888888889,0.6888888888888889
2024-08-28,0.1,0.3,-0.02777777777777779,0.02777777777777779
2024-08-29,0.1,0.3,0.48888888888888893,0.48888888888888893
2024-08-30,0.1,0.3,0.7277777777777779,0.7277777777777779
2024-09-02,0.1,0.3,-0.9166666666666666,0.9166666666666666
2024-09-03,0.1,0.3,-0.016666666666666607,0.016666666666666607
2024-09-04,0.1,0.3,-0.40555555555555556,0.40555555555555556
2024-09-05,0.1,0.3,-0.7944444444444444,0.7944444444444444
2024-09-06,0.1,0.3,0.2055555555555555,0.2055555555555555
2024-09-09,0.1,0.3,0.7388888888888889,0.7388888888888889
2024-09-10,0.1,0.3,-0.25555555555555554,0.25555555555555554
2024-09-11,0.1,0.3,0.9722222222222223,0.9722222222222223
2024-09-12,0.1,0.3,-0.49444444444444446,0.49444444444444446
2024-09-13,0.1,0.3,0.30000000000000004,0.30000000000000004
2024-09-18,0.1,0.3,-0.7333333333333334,0.7333333333333334
2024-09-19,0.1,0.3,0.16666666666666674,0.16666666666666674
2024-09-20,0.1,0.3,-0.06666666666666665,0.06666666666666665
2024-09-23,0.1,0.3,-0.08333333333333326,0.08333333333333326
2024-09-24,0.1,0.3,0.7666666666666666,0.7666666666666666
2024-09-25,0.1,0.3,-0.10555555555555551,0.10555555555555551
2024-09-26,0.1,0.3,0.41666666666666674,0.41666666666666674
2024-09-27,0.1,0.3,0.04444444444444451,0.04444444444444451
2024-09-30,0.1,0.3,0.8611111111111112,0.8611111111111112
2024-10-08,0.1,0.3,-0.85,0.85
2024-10-09,0.1,0.3,0.011111111111111072,0.011111111111111072
2024-10-10,0.1,0.3,-0.8055555555555556,0.8055555555555556
2024-10-11,0.1,0.3,0.12222222222222223,0.12222222222222223
2024-10-14,0.1,0.3,-0.1777777777777778,0.1777777777777778
