date,deviation,disagreement,alpha_t,beta_t,open_signal,signal_dir,pos_A,pos_B,action_A,action_B,shadow_active_A,shadow_active_B
2024-08-26,0.47777777777777786,0.47777777777777786,0.1,0.3,False,1,-0.6,-0.6,HOLD,HOLD,1,1
2024-08-27,0.6888888888888889,0.6888888888888889,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-08-28,0.02777777777777779,-0.02777777777777779,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-08-29,0.48888888888888893,0.48888888888888893,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-08-30,0.7277777777777779,0.7277777777777779,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-09-02,0.9166666666666666,-0.9166666666666666,0.1,0.3,True,-1,-1.0,-1.0,OPEN_SHORT,OPEN_SHORT,1,1
2024-09-03,0.016666666666666607,-0.016666666666666607,0.1,0.3,False,-1,-1.0,-1.0,HOLD,HOLD,1,1
2024-09-04,0.40555555555555556,-0.40555555555555556,0.1,0.3,False,-1,0.0,0.0,CLOSE,CLOSE,0,0
2024-09-05,0.7944444444444444,-0.7944444444444444,0.1,0.3,True,-1,-1.0,-1.0,OPEN_SHORT,OPEN_SHORT,1,1
2024-09-06,0.2055555555555555,0.2055555555555555,0.1,0.3,False,1,-0.5,-0.5,DECREASE,DECREASE,1,1
2024-09-09,0.7388888888888889,0.7388888888888889,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-09-10,0.25555555555555554,-0.25555555555555554,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-09-11,0.9722222222222223,0.9722222222222223,0.1,0.3,True,1,0.5,0.5,OPEN_LONG,OPEN_LONG,1,1
2024-09-12,0.49444444444444446,-0.49444444444444446,0.1,0.3,False,-1,0.5,0.5,HOLD,HOLD,1,1
2024-09-13,0.30000000000000004,0.30000000000000004,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-09-18,0.7333333333333334,-0.7333333333333334,0.1,0.3,True,-1,-0.3,-0.3,OPEN_SHORT,OPEN_SHORT,1,1
2024-09-19,0.16666666666666674,0.16666666666666674,0.1,0.3,False,1,-0.3,-0.3,HOLD,HOLD,1,1
2024-09-20,0.06666666666666665,-0.06666666666666665,0.1,0.3,False,-1,0.0,0.0,CLOSE,CLOSE,0,0
2024-09-23,0.08333333333333326,-0.08333333333333326,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-09-24,0.7666666666666666,0.7666666666666666,0.1,0.3,True,1,0.3,0.3,OPEN_LONG,OPEN_LONG,1,1
