open_date,open_close,open_disagreement,open_deviation,open_q_med,open_q_high,open_q_neutral,open_signal_dir,open_aux_confirm,close_date,close_close,close_disagreement,close_deviation,close_q_med,close_q_high,close_q_neutral,close_signal_dir,close_aux_confirm,direction,size,hold_days,gross_ret,net_ret,exit_reason,close_logic
2026-01-27,179600.0,0.994444,0.994444,0.973333,0.994444,0.551111,1,True,2026-01-28,166280.0,-0.972222,0.972222,0.973333,0.994444,0.558889,-1,True,1,0.6,1,-0.074165,-0.077165,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2026-02-03,148100.0,0.994444,0.994444,0.983333,0.994444,0.571111,1,True,2026-02-04,147220.0,-0.538889,0.538889,0.983333,0.994444,0.558889,-1,True,1,0.6,1,-0.005942,-0.008942,neutral_revert,偏离度 dev=0.5389 < 中性分位 q_neutral=0.5589 → 博弈修复完成
2026-03-12,156980.0,1.394444,1.394444,0.983333,0.994444,0.623333,1,True,2026-03-13,152080.0,0.077778,0.077778,0.983333,0.994444,0.623333,1,True,1,1.0,1,-0.031214,-0.034214,neutral_revert,偏离度 dev=0.0778 < 中性分位 q_neutral=0.6233 → 博弈修复完成
2026-03-16,159620.0,1.822222,1.822222,0.984444,0.994444,0.634444,1,True,2026-03-17,155320.0,0.088889,0.088889,0.984444,0.994444,0.634444,1,True,1,1.0,1,-0.026939,-0.029939,neutral_revert,偏离度 dev=0.0889 < 中性分位 q_neutral=0.6344 → 博弈修复完成
2026-03-20,143860.0,1.122222,1.122222,0.994444,0.994444,0.642222,1,True,2026-03-26,157200.0,0.244444,0.244444,0.994444,1.135833,0.657778,1,True,1,1.0,4,0.092729,0.089729,neutral_revert,偏离度 dev=0.2444 < 中性分位 q_neutral=0.6578 → 博弈修复完成
2026-03-27,168440.0,1.911111,1.911111,0.994444,1.396389,0.67,1,True,2026-03-31,157200.0,-0.111111,0.111111,0.994444,1.439722,0.67,-1,True,1,1.0,2,-0.06673,-0.06973,neutral_revert,偏离度 dev=0.1111 < 中性分位 q_neutral=0.6700 → 博弈修复完成
2026-04-01,158620.0,1.088889,1.088889,0.994444,1.439722,0.675556,1,True,2026-04-02,159140.0,0.9,0.9,0.994444,1.439722,0.684444,1,False,1,0.6,1,0.003278,0.000278,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2026-04-07,160860.0,1.477778,1.477778,0.994444,1.481944,0.692222,1,True,2026-04-08,159620.0,0.311111,0.311111,0.994444,1.481944,0.692222,1,True,1,0.6,1,-0.007709,-0.010709,neutral_revert,偏离度 dev=0.3111 < 中性分位 q_neutral=0.6922 → 博弈修复完成
2026-04-10,157600.0,1.55,1.55,0.994444,1.550556,0.694444,1,True,2026-04-14,166840.0,0.861111,0.861111,0.994444,1.564167,0.701111,1,False,1,0.6,2,0.058629,0.055629,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2026-04-27,180560.0,1.388889,1.388889,1.278889,1.623333,0.694444,1,True,2026-04-28,178620.0,0.177778,0.177778,1.278889,1.623333,0.692222,1,True,1,0.6,1,-0.010744,-0.013744,neutral_revert,偏离度 dev=0.1778 < 中性分位 q_neutral=0.6922 → 博弈修复完成
2026-04-29,183880.0,1.744444,1.744444,1.389444,1.647778,0.694444,1,True,2026-05-07,199060.0,0.666667,0.666667,1.423333,1.723333,0.701111,1,True,1,1.0,3,0.082554,0.079554,neutral_revert,偏离度 dev=0.6667 < 中性分位 q_neutral=0.7011 → 博弈修复完成
2026-05-11,205020.0,1.844444,1.844444,1.434444,1.745,0.701111,1,True,2026-05-12,205260.0,0.727778,0.727778,1.434444,1.745,0.701111,1,False,1,1.0,1,0.001171,-0.001829,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2026-05-22,184460.0,1.533333,1.533333,1.447778,1.745,0.67,1,True,2026-05-25,181200.0,-0.211111,0.211111,1.447778,1.745,0.666667,-1,True,1,0.6,1,-0.017673,-0.020673,neutral_revert,偏离度 dev=0.2111 < 中性分位 q_neutral=0.6667 → 博弈修复完成
2026-06-18,160500.0,-1.877778,1.877778,1.535,1.778889,0.666667,-1,True,2026-06-22,161740.0,0.588889,0.588889,1.535,1.778889,0.666667,1,True,-1,1.0,1,-0.007726,-0.010726,neutral_revert,偏离度 dev=0.5889 < 中性分位 q_neutral=0.6667 → 博弈修复完成
2026-06-25,150840.0,-1.9,1.9,1.551111,1.801111,0.673333,-1,True,2026-06-26,150220.0,-0.122222,0.122222,1.551111,1.801111,0.673333,-1,False,-1,1.0,1,0.00411,0.00111,neutral_revert,偏离度 dev=0.1222 < 中性分位 q_neutral=0.6733 → 博弈修复完成
2026-07-30,141060.0,-1.811111,1.811111,1.711111,1.811667,0.712222,-1,True,2026-08-03,138900.0,-0.9,0.9,1.711111,1.811667,0.716667,-1,True,-1,0.6,2,0.015313,0.012313,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
