date,position,close,price_ret,strat_ret,cost_ret,net_ret,equity
2024-08-23,0.0,73350.0,-0.027833,-0.0,0.0,-0.0,1.155504
2024-08-26,0.0,74350.0,0.013633,0.0,0.0,0.0,1.155504
2024-08-27,0.0,76150.0,0.02421,0.0,0.0,0.0,1.155504
2024-08-28,0.0,75750.0,-0.005253,-0.0,0.0,-0.0,1.155504
2024-08-29,0.0,76850.0,0.014521,0.0,0.0,0.0,1.155504
2024-08-30,0.0,78900.0,0.026675,0.0,0.0,0.0,1.155504
2024-09-02,-1.0,75200.0,-0.046895,0.046895,0.003,0.043895,1.206224
2024-09-03,-1.0,74900.0,-0.003989,0.003989,0.0,0.003989,1.211037
2024-09-04,0.0,73600.0,-0.017356,-0.0,0.003,-0.003,1.207403
2024-09-05,-0.6,70750.0,-0.038723,0.023234,0.0018,0.021434,1.233283
2024-09-06,-0.6,71200.0,0.00636,-0.003816,0.0,-0.003816,1.228576
2024-09-09,0.0,73150.0,0.027388,0.0,0.0018,-0.0018,1.226365
2024-09-10,0.0,72150.0,-0.013671,-0.0,0.0,-0.0,1.226365
2024-09-11,1.0,78450.0,0.087318,0.087318,0.003,0.084318,1.329769
2024-09-12,1.0,76950.0,-0.01912,-0.01912,0.0,-0.01912,1.304344
2024-09-13,0.0,77550.0,0.007797,0.0,0.003,-0.003,1.30043
2024-09-18,0.0,75300.0,-0.029014,-0.0,0.0,-0.0,1.30043
2024-09-19,0.0,75700.0,0.005312,0.0,0.0,0.0,1.30043
2024-09-20,0.0,75300.0,-0.005284,-0.0,0.0,-0.0,1.30043
2024-09-23,0.0,74850.0,-0.005976,-0.0,0.0,-0.0,1.30043
2024-09-24,0.6,76800.0,0.026052,0.015631,0.0018,0.013831,1.318417
2024-09-25,0.6,76250.0,-0.007161,-0.004297,0.0,-0.004297,1.312752
2024-09-26,0.0,77050.0,0.010492,0.0,0.0018,-0.0018,1.310389
2024-09-27,0.0,76950.0,-0.001298,-0.0,0.0,-0.0,1.310389
2024-09-30,1.0,79750.0,0.036387,0.036387,0.003,0.033387,1.354139
2024-10-08,1.0,76650.0,-0.038871,-0.038871,0.0,-0.038871,1.301502
2024-10-09,0.0,76400.0,-0.003262,-0.0,0.003,-0.003,1.297597
2024-10-10,0.0,73700.0,-0.03534,-0.0,0.0,-0.0,1.297597
2024-10-11,0.0,73900.0,0.002714,0.0,0.0,0.0,1.297597
2024-10-14,0.0,73100.0,-0.010825,-0.0,0.0,-0.0,1.297597
2024-10-15,0.0,73400.0,0.004104,0.0,0.0,0.0,1.297597
2024-10-16,0.0,71150.0,-0.030654,-0.0,0.0,-0.0,1.297597
2024-10-17,0.0,68600.0,-0.03584,-0.0,0.0,-0.0,1.297597
2024-10-18,0.0,70650.0,0.029883,0.0,0.0,0.0,1.297597
2024-10-21,0.0,72450.0,0.025478,0.0,0.0,0.0,1.297597
2024-10-22,0.0,73750.0,0.017943,0.0,0.0,0.0,1.297597
2024-10-23,0.0,75250.0,0.020339,0.0,0.0,0.0,1.297597
2024-10-24,0.0,74200.0,-0.013953,-0.0,0.0,-0.0,1.297597
2024-10-25,0.0,74700.0,0.006739,0.0,0.0,0.0,1.297597
2024-10-28,0.0,76600.0,0.025435,0.0,0.0,0.0,1.297597
2024-10-29,0.0,74900.0,-0.022193,-0.0,0.0,-0.0,1.297597
2024-10-30,0.0,73850.0,-0.014019,-0.0,0.0,-0.0,1.297597
2024-10-31,0.0,74850.0,0.013541,0.0,0.0,0.0,1.297597
2024-11-01,0.0,76500.0,0.022044,0.0,0.0,0.0,1.297597
2024-11-04,0.0,77250.0,0.009804,0.0,0.0,0.0,1.297597
2024-11-05,0.0,77350.0,0.001294,0.0,0.0,0.0,1.297597
2024-11-06,0.0,75900.0,-0.018746,-0.0,0.0,-0.0,1.297597
2024-11-07,0.0,76850.0,0.012516,0.0,0.0,0.0,1.297597
2024-11-08,0.0,76400.0,-0.005856,-0.0,0.0,-0.0,1.297597
2024-11-11,1.0,80950.0,0.059555,0.059555,0.003,0.056555,1.370983
2024-11-12,1.0,81150.0,0.002471,0.002471,0.0,0.002471,1.37437
2024-11-13,1.0,86500.0,0.065927,0.065927,0.0,0.065927,1.464979
2024-11-14,1.0,81000.0,-0.063584,-0.063584,0.0,-0.063584,1.37183
