window,factor,test_start,test_end,ic_train,pval_train,n_train
13,f_basis_abs,2026-02-09,2026-03-16,-0.17425184756102433,0.01931092606327066,180
13,f_basis_pct_5,2026-02-09,2026-03-16,0.09935496947179183,0.1845133053042687,180
13,f_basis_pct_20,2026-02-09,2026-03-16,-0.061032747924318655,0.41570527777652333,180
13,f_spread_1_3,2026-02-09,2026-03-16,0.01723276528582071,0.8183962832595071,180
13,f_spread_1_3_pct_5,2026-02-09,2026-03-16,-0.1591531699089858,0.03284204042996106,180
13,f_volume_pct_5,2026-02-09,2026-03-16,0.10045783306069117,0.1796639468506408,180
13,f_oi_pct_5,2026-02-09,2026-03-16,0.1585378149531364,0.033532257394655554,180
13,f_oi_pct_20,2026-02-09,2026-03-16,0.39718509830550325,3.3810456591968294e-08,180
13,f_hv20,2026-02-09,2026-03-16,-0.16564297251972795,0.026268078820328403,180
13,f_hv20_pct_5,2026-02-09,2026-03-16,0.15791639659660275,0.03424172204346756,180
14,f_stock_abs,2026-03-17,2026-04-14,-0.3832784446403782,1.0925824917273928e-07,180
14,f_stock_pct_5,2026-03-17,2026-04-14,-0.36817223594599147,3.678363073596993e-07,180
14,f_stock_pct_20,2026-03-17,2026-04-14,-0.6723561426793009,4.928157092836771e-25,180
14,f_basis_abs,2026-03-17,2026-04-14,-0.10452136087543946,0.16260628154228074,180
14,f_basis_pct_5,2026-03-17,2026-04-14,0.018333899194419582,0.8070124538405943,180
14,f_basis_pct_20,2026-03-17,2026-04-14,-0.0951387388499645,0.20393814622103337,180
14,f_spread_1_3,2026-03-17,2026-04-14,-0.11119540458232742,0.13726272036694723,180
14,f_spread_1_3_pct_5,2026-03-17,2026-04-14,-0.09196412276364026,0.219508489883541,180
14,f_volume_pct_5,2026-03-17,2026-04-14,0.07992221982159942,0.28619499545398186,180
14,f_oi_pct_5,2026-03-17,2026-04-14,0.09383005648322479,0.21025735331015236,180
14,f_oi_pct_20,2026-03-17,2026-04-14,0.2716483019023221,0.00022534711897267786,180
14,f_hv20,2026-03-17,2026-04-14,-0.5237116371904483,4.567047924541578e-14,180
14,f_hv20_pct_5,2026-03-17,2026-04-14,0.07565254071627725,0.3128012927577481,180
15,f_stock_abs,2026-04-15,2026-05-15,-0.36502062312989014,4.7022513314412347e-07,180
