window,factor,quintile,mean_fwd_ret,n
6,f_stock_abs,5,-0.05598110689624841,4
6,f_stock_pct_5,1,0.18079077836876462,4
6,f_stock_pct_5,2,0.19485827909904516,4
6,f_stock_pct_5,3,0.04516663488979484,4
6,f_stock_pct_5,4,0.09253851268261586,4
6,f_stock_pct_5,5,-0.05598110689624841,4
6,f_stock_pct_20,1,0.18079077836876462,4
6,f_stock_pct_20,2,0.19485827909904516,4
6,f_stock_pct_20,3,0.062040355332792674,4
6,f_stock_pct_20,4,0.07566479223961803,4
6,f_stock_pct_20,5,-0.05598110689624841,4
6,f_basis_abs,1,-0.014651224561747517,4
6,f_basis_abs,2,0.12521937453633264,4
6,f_basis_abs,3,0.14315018660940598,4
6,f_basis_abs,4,0.10161772615334333,4
6,f_basis_abs,5,0.10203703540663762,4
6,f_basis_pct_5,1,-0.02117327685663786,4
6,f_basis_pct_5,2,0.09318213928075236,4
6,f_basis_pct_5,3,0.10750197346859003,4
6,f_basis_pct_5,4,0.14873577096575186,4
6,f_basis_pct_5,5,0.12912649128551565,4
6,f_basis_pct_20,1,0.1919714845572375,4
6,f_basis_pct_20,2,0.13922353731123835,4
6,f_basis_pct_20,3,0.10161772615334333,4
6,f_basis_pct_20,4,-0.011499871430452335,4
6,f_basis_pct_20,5,0.036060221552605215,4
6,f_spread_1_3,1,0.15618305180694877,4
6,f_spread_1_3,2,0.07861381480866124,4
6,f_spread_1_3,3,0.11514650441786611,4
6,f_spread_1_3,4,0.1331611465463513,4
6,f_spread_1_3,5,-0.025731419435855392,4
6,f_spread_1_3_pct_5,1,0.06611972759450524,4
6,f_spread_1_3_pct_5,2,0.1354819330581089,4
6,f_spread_1_3_pct_5,3,0.05009851149762165,4
6,f_spread_1_3_pct_5,4,0.1640212235073274,4
6,f_spread_1_3_pct_5,5,0.04165170248640887,4
6,f_volume_pct_5,1,0.0651071243580003,4
6,f_volume_pct_5,2,0.07998892751337602,4
6,f_volume_pct_5,3,0.13378068014879146,4
6,f_volume_pct_5,4,0.12555323002720406,4
6,f_volume_pct_5,5,0.0529431360966002,4
6,f_oi_pct_5,1,0.11233423479815506,4
6,f_oi_pct_5,2,0.07320576454847921,4
6,f_oi_pct_5,3,0.2136002831972048,4
6,f_oi_pct_5,4,0.1229480361339648,4
6,f_oi_pct_5,5,-0.06471522053383184,4
6,f_oi_pct_20,1,0.10203703540663762,4
