date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2024-09-27,76950.0,1.310389060286967,0.0,1.0,1.0,flat,range
2024-09-30,79750.0,1.3541393663849042,1.0,1.0,1.0,ham_only,range
2024-10-08,76650.0,1.3015019740865568,1.0,1.0,1.0,ham_only,range
2024-10-09,76400.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-10,73700.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-11,73900.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-14,73100.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-15,73400.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-16,71150.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-17,68600.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-18,70650.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-21,72450.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-22,73750.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-23,75250.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-24,74200.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-25,74700.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-28,76600.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-29,74900.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-30,73850.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-10-31,74850.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-01,76500.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-04,77250.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-05,77350.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-06,75900.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-07,76850.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-08,76400.0,1.297597468164297,0.0,1.0,1.0,flat,range
2024-11-11,80950.0,1.370983059007809,1.0,1.0,1.0,ham_only,range
2024-11-12,81150.0,1.3743702932487176,1.0,1.0,1.0,ham_only,range
2024-11-13,86500.0,1.4649788091930263,1.0,1.0,1.0,ham_only,uptrend
2024-11-14,81000.0,1.371829867568036,1.0,1.0,1.0,ham_only,uptrend
2024-11-15,78300.0,1.367714377965332,0.0,0.7,1.0,flat,range
2024-11-18,80950.0,1.385432515099101,0.42,0.7,1.0,ham_only,range
2024-11-19,82650.0,1.3976523892903394,0.42,0.7,1.0,ham_only,uptrend
2024-11-20,82700.0,1.3974049718419703,0.6,1.0,1.0,ham_only,range
2024-11-21,81950.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-11-22,79500.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-11-25,80350.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-11-26,78650.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-11-27,78500.0,1.3948896428926547,0.0,1.0,1.0,flat,range
