date,close,regime,ctrl1_ham_fixed20,exp1_ham_dynamic,ctrl2_fund_fixed20,exp2_fund_dynamic,exp_T1_ham_fund_combined
2025-03-24,73720.0,range,1.3397323309463776,1.348748729804343,0.8233490843875605,1.1396195179454351,1.5043014786424522
2025-03-25,73800.0,range,1.3382784705763868,1.348748729804343,0.8242425722707808,1.1396195179454351,1.5043014786424522
2025-03-26,74480.0,range,1.3259474494382846,1.348748729804343,0.8318372192781538,1.1396195179454351,1.5043014786424522
2025-03-27,74380.0,range,1.3277277225981106,1.348748729804343,0.8293417076203193,1.1396195179454351,1.5043014786424522
2025-03-28,74000.0,range,1.334510951081403,1.348748729804343,0.8310907065482209,1.1396195179454351,1.5043014786424522
2025-03-31,74160.0,range,1.3316255219979838,1.348748729804343,0.8292937536691978,1.1396195179454351,1.5043014786424522
2025-04-01,74360.0,range,1.3280342989073743,1.348748729804343,0.8270572548728947,1.1396195179454351,1.5043014786424522
2025-04-02,73340.0,range,1.3462510146804447,1.348748729804343,0.838402042392668,1.1396195179454351,1.5043014786424522
2025-04-03,73160.0,range,1.3495551486133937,1.348748729804343,0.8404597512504629,1.1396195179454351,1.5043014786424522
2025-04-07,71060.0,range,1.388293062939366,1.348748729804343,0.8645844844055472,1.1396195179454351,1.5043014786424522
2025-04-08,70280.0,range,1.4035318553555312,1.348748729804343,0.8740747165732411,1.1396195179454351,1.5043014786424522
2025-04-09,69900.0,range,1.4111206730139703,1.348748729804343,0.8788007893150999,1.1396195179454351,1.5043014786424522
2025-04-10,70540.0,range,1.3982005409577623,1.348748729804343,0.8707545446060633,1.1396195179454351,1.5043014786424522
2025-04-11,70260.0,range,1.403750528928675,1.348748729804343,0.8742108994754949,1.1396195179454351,1.5043014786424522
2025-04-14,70760.0,range,1.3937608439804208,1.348748729804343,0.8679896434302665,1.1396195179454351,1.5043014786424522
2025-04-15,70720.0,range,1.394548724615797,1.348748729804343,0.8684803102722283,1.1396195179454351,1.5043014786424522
2025-04-16,70380.0,range,1.4012532857918345,1.348748729804343,0.8726556963793063,1.1396195179454351,1.5043014786424522
2025-04-17,70460.0,range,1.3996605000165667,1.348748729804343,0.871663760378875,1.1396195179454351,1.5043014786424522
2025-04-18,70180.0,range,1.3954615185165171,1.348748729804343,0.8751276526994268,1.1396195179454351,1.5043014786424522
2025-04-21,69000.0,range,1.3954615185165171,1.348748729804343,0.8898419677490894,1.1396195179454351,1.5043014786424522
2025-04-22,67840.0,range,1.3954615185165171,1.348748729804343,0.9048016298155959,1.1396195179454351,1.5043014786424522
2025-04-23,68980.0,range,1.3954615185165171,1.348748729804343,0.8895971212956993,1.1396195179454351,1.5043014786424522
2025-04-24,68300.0,range,1.3954615185165171,1.348748729804343,0.8983667072986143,1.1396195179454351,1.5043014786424522
2025-04-25,68180.0,range,1.3954615185165171,1.348748729804343,0.8999450968282751,1.1396195179454351,1.5043014786424522
2025-04-28,66960.0,range,1.3954615185165171,1.348748729804343,0.8972452615377903,1.1396195179454351,1.5043014786424522
2025-04-29,66260.0,range,1.3954615185165171,1.348748729804343,0.9039333298612482,1.1396195179454351,1.5043014786424522
2025-04-30,65960.0,range,1.3954615185165171,1.348748729804343,0.9080259951036023,1.1396195179454351,1.5043014786424522
2025-05-06,65260.0,range,1.3954615185165171,1.348748729804343,0.9176624140934828,1.1396195179454351,1.5043014786424522
2025-05-07,64160.0,downtrend,1.3954615185165171,1.348748729804343,0.9331302145149176,1.1396195179454351,1.5043014786424522
2025-05-08,64280.0,range,1.3954615185165171,1.348748729804343,0.9313849585027326,1.1396195179454351,1.5043014786424522
2025-05-09,63020.0,range,1.3954615185165171,1.348748729804343,0.9496417265132093,1.1396195179454351,1.5043014786424522
2025-05-12,64040.0,range,1.3954615185165171,1.348748729804343,0.9342714542021419,1.1396195179454351,1.5043014786424522
2025-05-13,63220.0,range,1.3954615185165171,1.348748729804343,0.946234330411476,1.1396195179454351,1.5043014786424522
2025-05-14,65200.0,range,1.4349798762365562,1.386944218588239,0.9165990255362036,1.100508684612542,1.5043014786424522
2025-05-15,64120.0,range,1.4112102709246623,1.3639702959490474,0.9317819541800548,1.1187379695723816,1.5043014786424522
2025-05-16,61800.0,downtrend,1.360149637291705,1.3598783850612002,0.965495836489751,1.159216324054726,1.5542174486676992
2025-05-19,61180.0,downtrend,1.3465041231311732,1.3598783850612002,0.9751820406745996,1.1557386750825618,1.549554796321696
2025-05-20,60860.0,downtrend,1.3394612771128342,1.3598783850612002,0.9802826986186314,1.1557386750825618,1.549554796321696
