date,equity_A,equity_B,daily_ret_A
2024-04-19,0.8909126576366183,0.9859680123013179,0.0
2024-04-22,0.8909126576366183,0.9859680123013179,0.0
2024-04-23,0.8909126576366183,0.9859680123013179,0.0
2024-04-24,0.8909126576366183,0.9859680123013179,0.0
2024-04-25,0.8909126576366183,0.9859680123013179,0.0
2024-04-26,0.8909126576366183,0.9859680123013179,0.0
2024-04-29,0.8909126576366183,0.9859680123013179,0.0
2024-04-30,0.8909126576366183,0.9859680123013179,0.0
2024-05-06,0.8909126576366183,0.9859680123013179,0.0
2024-05-07,0.8909126576366183,0.9859680123013179,0.0
2024-05-08,0.8909126576366183,0.9859680123013179,0.0
2024-05-09,0.8909126576366183,0.9859680123013179,0.0
2024-05-10,0.8909126576366183,0.9859680123013179,0.0
2024-05-13,0.8909126576366183,0.9859680123013179,0.0
2024-05-14,0.8909126576366183,0.9859680123013179,0.0
2024-05-15,0.8909126576366183,0.9859680123013179,0.0
2024-05-16,0.8909126576366183,0.9859680123013179,0.0
2024-05-17,0.8909126576366183,0.9859680123013179,0.0
2024-05-20,0.8909126576366183,0.9859680123013179,0.0
2024-05-21,0.8909126576366183,0.9859680123013179,0.0
2024-05-22,0.8909126576366183,0.9859680123013179,0.0
2024-05-23,0.8909126576366183,0.9859680123013179,0.0
2024-05-24,0.8909126576366183,0.9859680123013179,0.0
2024-05-27,0.8909126576366183,0.9859680123013179,0.0
2024-05-28,0.8909126576366183,0.9859680123013179,0.0
2024-05-29,0.8909126576366183,0.9859680123013179,0.0
2024-05-30,0.8909126576366183,0.9859680123013179,0.0
2024-05-31,0.8909126576366183,0.9859680123013179,0.0
2024-06-03,0.8909126576366183,0.9859680123013179,0.0
2024-06-04,0.8909126576366183,0.9859680123013179,0.0
2024-06-05,0.8909126576366183,0.9859680123013179,0.0
2024-06-06,0.8909126576366183,0.9859680123013179,0.0
2024-06-07,0.8909126576366183,0.9859680123013179,0.0
2024-06-11,0.8909126576366183,0.9859680123013179,0.0
2024-06-12,0.8909126576366183,0.9859680123013179,0.0
2024-06-13,0.8909126576366183,0.9859680123013179,0.0
2024-06-14,0.8909126576366183,0.9859680123013179,0.0
2024-06-17,0.8909126576366183,0.9859680123013179,0.0
2024-06-18,0.8909126576366183,0.9859680123013179,0.0
2024-06-19,0.8909126576366183,0.9859680123013179,0.0
2024-06-20,0.8909126576366183,0.9859680123013179,0.0
2024-06-21,0.8909126576366183,0.9859680123013179,0.0
2024-06-24,0.8909126576366183,0.9859680123013179,0.0
2024-06-25,0.8909126576366183,0.9859680123013179,0.0
2024-06-26,0.8909126576366183,0.9859680123013179,0.0
2024-06-27,0.8909126576366183,0.9859680123013179,0.0
2024-06-28,0.8909126576366183,0.9859680123013179,0.0
2024-07-01,0.8909126576366183,0.9859680123013179,0.0
2024-07-02,0.8909126576366183,0.9859680123013179,0.0
2024-07-03,0.8909126576366183,0.9859680123013179,0.0
2024-07-04,0.8909126576366183,0.9859680123013179,0.0
2024-07-05,0.8909126576366183,0.9859680123013179,0.0
2024-07-08,0.8909126576366183,0.9859680123013179,0.0
2024-07-09,0.8909126576366183,0.9859680123013179,0.0
2024-07-10,0.8909126576366183,0.9859680123013179,0.0
2024-07-11,0.8909126576366183,0.9859680123013179,0.0
2024-07-12,0.8909126576366183,0.9859680123013179,0.0
2024-07-15,0.8909126576366183,0.9859680123013179,0.0
2024-07-16,0.8909126576366183,0.9859680123013179,0.0
2024-07-17,0.8909126576366183,0.9859680123013179,0.0
2024-07-18,0.8909126576366183,0.9859680123013179,0.0
2024-07-19,0.8909126576366183,0.9859680123013179,0.0
2024-07-22,0.8909126576366183,0.9859680123013179,0.0
2024-07-23,0.8909126576366183,0.9859680123013179,0.0
2024-07-24,0.8909126576366183,0.9859680123013179,0.0
2024-07-25,0.8909126576366183,0.9859680123013179,0.0
2024-07-26,0.8909126576366183,0.9859680123013179,0.0
2024-07-29,0.8909126576366183,0.9859680123013179,0.0
2024-07-30,0.8909126576366183,0.9859680123013179,0.0
2024-07-31,0.8909126576366183,0.9859680123013179,0.0
2024-08-01,0.8909126576366183,0.9859680123013179,0.0
2024-08-02,0.8909126576366183,0.9859680123013179,0.0
2024-08-05,0.8909126576366183,0.9859680123013179,0.0
2024-08-06,0.8909126576366183,0.9859680123013179,0.0
2024-08-07,0.8909126576366183,0.9859680123013179,0.0
2024-08-08,0.8909126576366183,0.9859680123013179,0.0
2024-08-09,0.8909126576366183,0.9859680123013179,0.0
2024-08-12,0.8909126576366183,0.9859680123013179,0.0
2024-08-13,0.8909126576366183,0.9859680123013179,0.0
2024-08-14,0.9155573843998133,0.9859680123013179,0.027662337662337663
2024-08-15,0.9155573843998133,0.9871683211858586,0.0
2024-08-16,0.9155573843998133,0.988370091315998,0.0
2024-08-19,0.9155573843998133,0.988370091315998,0.0
2024-08-20,0.9155573843998133,0.988370091315998,0.0
2024-08-21,0.9155573843998133,0.988370091315998,0.0
2024-08-22,0.9155573843998133,0.988370091315998,0.0
2024-08-23,0.9155573843998133,0.988370091315998,0.0
2024-08-26,0.9155573843998133,0.988370091315998,0.0
2024-08-27,0.9155573843998133,0.988370091315998,0.0
2024-08-28,0.9155573843998133,0.988370091315998,0.0
2024-08-29,0.9155573843998133,0.988370091315998,0.0
2024-08-30,0.9155573843998133,0.988370091315998,0.0
2024-09-02,0.9584922680788919,0.988370091315998,0.046894803548795945
2024-09-03,0.9584922680788919,0.9950911391945949,0.0
2024-09-04,0.9584922680788919,1.0018578910913358,0.0
2024-09-05,0.9807615857203988,1.0018578910913358,0.023233695652173914
2024-09-06,0.9807615857203988,1.0094501828749414,0.0
2024-09-09,0.9807615857203988,1.0171000106574546,0.0
2024-09-10,0.9807615857203988,1.0171000106574546,0.0
2024-09-11,1.0663998115005584,1.0171000106574546,0.08731808731808732
2024-09-12,1.0663998115005584,1.0040744861491102,0.0
2024-09-13,1.0663998115005584,0.9912157734458389,0.0
2024-09-18,1.0663998115005584,0.9912157734458389,0.0
2024-09-19,1.0663998115005584,0.9912157734458389,0.0
2024-09-20,1.0663998115005584,0.9912157734458389,0.0
2024-09-23,1.0663998115005584,0.9912157734458389,0.0
2024-09-24,1.0830689869107877,0.9912157734458389,0.0156312625250501
2024-09-25,1.0830689869107877,0.9779891983075985,0.0
2024-09-26,1.0830689869107877,0.9649391158105912,0.0
2024-09-27,1.0830689869107877,0.9649391158105912,0.0
2024-09-30,1.1224789045631618,0.9649391158105912,0.036387264457439894
2024-10-08,1.1224789045631618,0.9321163861933408,0.0
2024-10-09,1.1224789045631618,0.9004101327991754,0.0
2024-10-10,1.1224789045631618,0.9004101327991754,0.0
2024-10-11,1.1224789045631618,0.9004101327991754,0.0
2024-10-14,1.1224789045631618,0.9004101327991754,0.0
2024-10-15,1.1224789045631618,0.9004101327991754,0.0
2024-10-16,1.1224789045631618,0.9004101327991754,0.0
2024-10-17,1.1224789045631618,0.9004101327991754,0.0
2024-10-18,1.1224789045631618,0.9004101327991754,0.0
2024-10-21,1.1224789045631618,0.9004101327991754,0.0
2024-10-22,1.1224789045631618,0.9004101327991754,0.0
2024-10-23,1.1224789045631618,0.9004101327991754,0.0
2024-10-24,1.1224789045631618,0.9004101327991754,0.0
2024-10-25,1.1224789045631618,0.9004101327991754,0.0
2024-10-28,1.1224789045631618,0.9004101327991754,0.0
2024-10-29,1.1224789045631618,0.9004101327991754,0.0
2024-10-30,1.1224789045631618,0.9004101327991754,0.0
2024-10-31,1.1224789045631618,0.9004101327991754,0.0
2024-11-01,1.1224789045631618,0.9004101327991754,0.0
2024-11-04,1.1224789045631618,0.9004101327991754,0.0
2024-11-05,1.1224789045631618,0.9004101327991754,0.0
2024-11-06,1.1224789045631618,0.9004101327991754,0.0
2024-11-07,1.1224789045631618,0.9004101327991754,0.0
2024-11-08,1.1224789045631618,0.9004101327991754,0.0
2024-11-11,1.1893281063401566,0.9004101327991754,0.05955497382198953
2024-11-12,1.1893281063401566,0.9048991138905209,0.0
2024-11-13,1.2677372914161866,0.9094104747291666,0.06592729513247074
2024-11-14,1.2677372914161866,0.8780831237225281,0.0
2024-11-15,1.2677372914161866,0.8478349365790344,0.0
2024-11-18,1.2934806157246377,0.8478349365790344,0.020306513409961684
2024-11-19,1.309778950845566,0.8525626704814462,0.012600370599135269
2024-11-20,1.309778950845566,0.8573167673784547,0.0
2024-11-21,1.309778950845566,0.8620973742765327,0.0
2024-11-22,1.309778950845566,0.8620973742765327,0.0
2024-11-25,1.309778950845566,0.8620973742765327,0.0
2024-11-26,1.309778950845566,0.8620973742765327,0.0
2024-11-27,1.309778950845566,0.8620973742765327,0.0
2024-11-28,1.309778950845566,0.8620973742765327,0.0
2024-11-29,1.309778950845566,0.8620973742765327,0.0
2024-12-02,1.309778950845566,0.8620973742765327,0.0
2024-12-03,1.309778950845566,0.8620973742765327,0.0
2024-12-04,1.309778950845566,0.8620973742765327,0.0
2024-12-05,1.309778950845566,0.8620973742765327,0.0
2024-12-06,1.309778950845566,0.8620973742765327,0.0
2024-12-09,1.309778950845566,0.8620973742765327,0.0
2024-12-10,1.309778950845566,0.8620973742765327,0.0
2024-12-11,1.309778950845566,0.8620973742765327,0.0
2024-12-12,1.309778950845566,0.8620973742765327,0.0
2024-12-13,1.309778950845566,0.8620973742765327,0.0
2024-12-16,1.309778950845566,0.8620973742765327,0.0
2024-12-17,1.309778950845566,0.8620973742765327,0.0
2024-12-18,1.309778950845566,0.8620973742765327,0.0
2024-12-19,1.309778950845566,0.8620973742765327,0.0
