datetime,open,high,low,close,volume,hold
2026-09-09 09:59:00,142240.0,142280.0,142000.0,142140.0,459,401051
2026-09-09 10:00:00,142200.0,142200.0,141880.0,142000.0,1018,401104
2026-09-09 10:01:00,142000.0,142000.0,141500.0,141580.0,1579,400989
2026-09-09 10:02:00,141540.0,141600.0,141080.0,141460.0,1794,401287
2026-09-09 10:03:00,141380.0,141860.0,141380.0,141840.0,854,401364
2026-09-09 10:04:00,141940.0,142140.0,141900.0,142060.0,772,401581
2026-09-09 10:05:00,142080.0,142080.0,141760.0,142000.0,468,401665
2026-09-09 10:06:00,141860.0,142020.0,141820.0,141960.0,265,401794
2026-09-09 10:07:00,141900.0,141900.0,141820.0,141880.0,237,401907
2026-09-09 10:08:00,141840.0,141880.0,141640.0,141660.0,370,402010
2026-09-09 10:09:00,141660.0,141820.0,141520.0,141520.0,361,402070
2026-09-09 10:10:00,141520.0,141800.0,141460.0,141740.0,628,402176
2026-09-09 10:11:00,141740.0,141760.0,141660.0,141680.0,127,402241
2026-09-09 10:12:00,141680.0,141760.0,141600.0,141700.0,326,402358
2026-09-09 10:13:00,141500.0,141500.0,141300.0,141400.0,767,402344
2026-09-09 10:14:00,141500.0,141700.0,141500.0,141700.0,289,402381
2026-09-09 10:15:00,141760.0,142000.0,141760.0,141880.0,637,402475
2026-09-09 10:31:00,142040.0,142200.0,141880.0,141940.0,309,402482
2026-09-09 10:32:00,141880.0,141880.0,141600.0,141700.0,362,402565
2026-09-09 10:33:00,141640.0,141680.0,141520.0,141600.0,281,402661
2026-09-09 10:34:00,141520.0,141600.0,141480.0,141540.0,313,402786
2026-09-09 10:35:00,141620.0,141760.0,141600.0,141600.0,239,402828
2026-09-09 10:36:00,141460.0,141700.0,141460.0,141700.0,186,402882
2026-09-09 10:37:00,141620.0,141640.0,141520.0,141640.0,141,402946
2026-09-09 10:38:00,141660.0,141780.0,141600.0,141720.0,228,403019
2026-09-09 10:39:00,141720.0,141800.0,141580.0,141640.0,180,403066
2026-09-09 10:40:00,141640.0,141660.0,141400.0,141420.0,372,403220
2026-09-09 10:41:00,141460.0,141720.0,141420.0,141720.0,176,403268
2026-09-09 10:42:00,141720.0,141880.0,141640.0,141660.0,463,403337
2026-09-09 10:43:00,141640.0,141640.0,141420.0,141420.0,217,403469
2026-09-09 10:44:00,141420.0,141680.0,141400.0,141680.0,240,403490
2026-09-09 10:45:00,141700.0,141740.0,141600.0,141740.0,193,403510
2026-09-09 10:46:00,141740.0,141740.0,141500.0,141500.0,228,403650
2026-09-09 10:47:00,141540.0,141760.0,141500.0,141760.0,168,403709
2026-09-09 10:48:00,141760.0,141880.0,141640.0,141680.0,349,403645
2026-09-09 10:49:00,141720.0,141760.0,141720.0,141760.0,75,403645
2026-09-09 10:50:00,141740.0,141780.0,141640.0,141640.0,142,403634
2026-09-09 10:51:00,141640.0,141700.0,141500.0,141500.0,188,403705
2026-09-09 10:52:00,141500.0,141700.0,141500.0,141700.0,159,403713
