date,dir_disagreement,disagreement_vol,disagreement_decay,ham_dev_mean,ham_n_f_minus_n_c,fwd20_ret
2024-03-15,-1.0,1337.7237884595336,-0.03908502885489371,,-1.0,-0.059973924380704
2024-03-18,-1.0,1334.000586877485,-0.008846535397491806,,-1.0,-0.0641573994867408
2024-03-19,1.0,1334.000586877485,-0.0,,-1.0,-0.0569812962157459
2024-03-20,-1.0,1329.362233316571,0.030002837854642462,,-1.0,-0.0810580204778157
2024-03-21,-1.0,1343.5983696579008,0.08047189508837169,,-1.0,-0.0749893481039625
2024-03-22,1.0,1335.0259952131034,0.016224802269487925,,-1.0,-0.0454744206383909
2024-03-25,1.0,1383.492909840505,-0.1315944418212208,,-1.0,0.0279329608938547
2024-03-26,-1.0,1394.6390544170429,0.07350879217801816,,-1.0,0.011070110701107
2024-03-27,0.0,1422.8053275132195,1.0165111625159142,,-1.0,0.0138376383763838
2024-03-28,-1.0,1064.2949235106435,0.23592494257368327,,-1.0,0.0682027649769585
2024-03-29,1.0,1041.8038506157936,-0.0878928955465842,,-1.0,0.0411022886501635
2024-04-01,-1.0,1097.6679825885421,-0.0549306143973695,,-1.0,-0.0017761989342806
2024-04-02,1.0,1021.9072403573315,0.06650273209387965,,-1.0,0.026126126126126
2024-04-03,-1.0,1036.1746449015445,0.05596157870935856,,-1.0,0.0022361359570661
2024-04-08,-1.0,1027.8970611987625,-0.026531412511932095,,-1.0,-0.0158590308370043
2024-04-09,-1.0,1020.9515685198578,-0.030951960288443093,,-1.0,-0.0508103372755146
2024-04-10,-1.0,1018.592779279335,0.026367746263091373,,-1.0,-0.0763260025873221
2024-04-11,1.0,1018.592779279335,-2.2204460492503132e-17,,-1.0,-0.0666666666666666
2024-04-12,1.0,1033.5363411225812,0.0626381481866731,,-1.0,-0.0819964349376114
2024-04-15,1.0,904.4289780385133,0.1350307609234377,,-1.0,-0.0693512304250559
2024-04-16,1.0,917.2111620501976,-0.00995643374939632,,-1.0,-0.0157189089227923
2024-04-17,-1.0,920.3474744270288,0.01960210436285521,,-1.0,-0.0310786106032906
2024-04-18,1.0,925.7811424328163,0.03339146858006481,,-1.0,-0.0156826568265682
2024-04-19,1.0,933.2138864669432,0.05838025790934036,,-1.0,-0.0120705663881151
2024-04-22,-1.0,920.3689191668855,-0.08673005222038574,,-1.0,-0.022109626900046
2024-04-23,-1.0,918.6517580844109,0.08047189548837166,,-1.0,-0.0142006413192853
2024-04-24,-1.0,679.0037206316169,0.08577990534751304,,-1.0,-0.0380434782608695
