date,ham_dev_mean,ham_dev_median,ham_D_f_minus_D_c,ham_n_f_minus_n_c,dir_disagreement,disagreement_vol,disagreement_decay,adaptive_disagree_v1,multiagent_3,basis_rate,basis_rate_chg5,pos_chg_20d_pct,vol_chg_20d_pct,rvol20,vol_rel,basis_turn,momentum_20d,bias_rate,position_pct_chg
2024-10-23,0.4477777777777778,0.4777777777777778,-750.0,-1.0,-1.0,504.51090176526407,0.020273255383186074,-795.1754385964912,-751.065,-2.13,-8.1,-6.389950139221654,29.89533213235127,2.2560627573149,1.2454037707335908,-1.0,-0.06640106241699861,0.8949820668387343,4.534892689793479
2024-10-24,0.4504629629629629,0.4777777777777778,525.0,-1.0,1.0,494.16995797844794,-0.04825404464741736,639.1676866585068,524.395,-1.21,-10.1,-2.166216198341277,-0.4693164428514196,2.274186596308179,1.0639246608849762,-1.0,-1.9815059445178362,-0.4127101298527003,2.3265680699861235
2024-10-25,0.4524999999999999,0.4777777777777778,-250.0,-1.0,-1.0,491.7744455165984,-0.011157177515710414,-309.7106465922839,-250.935,-1.87,-1.2000000000000002,2.344054580896686,23.324036027489782,2.277468434912012,1.035970282057995,-1.0,-0.7968127490039834,0.298747944009925,4.111533746755125
2024-10-28,0.4625925925925926,0.4833333333333333,-950.0,-1.0,-1.0,483.5093070458933,-0.0720180789499176,-953.5662082253671,-951.96,-3.92,-5.37,2.1237674966914937,18.08560859336305,2.3425713546779816,1.3084299278194265,-1.0,2.338009352037407,2.7291624756923483,-2.1254399141166447
2024-10-29,0.4673148148148148,0.4888888888888889,850.0,-1.0,1.0,480.72040237871937,0.006860056068132825,1077.9646962233169,849.435,-1.13,-0.5899999999999999,-2.737984013287657,-3.3446194236872007,2.323879431473066,0.9771481249961078,-1.0,-2.473958333333337,0.5774137236471022,-0.5479851924582335
2024-10-30,0.4626851851851852,0.4833333333333333,525.0,-1.0,1.0,472.1242588445055,-0.03233135815967245,722.0284090909091,525.0,0.0,2.13,-6.9496834443909,-29.61184942333587,2.338470080068907,1.0017595925200324,0.0,-3.147540983606556,-0.672494956287828,-0.3891275537885486
2024-10-31,0.4604629629629629,0.4777777777777778,-500.0,-1.0,-1.0,469.1046903691283,-0.011157177540710416,-663.4806753980482,-500.77,-1.54,-0.33,5.531584358906434,24.723211799387368,2.347564165617585,1.1264710684186254,-1.0,-2.85528877352369,0.8216594827586299,4.935107841080066
2024-11-01,0.4610185185185185,0.4777777777777778,-825.0,-1.0,-1.0,441.8468268767499,-0.14016801810593274,-923.195581793944,-826.73,-3.46,-1.59,4.912192199766687,42.3510105614542,2.404308403514415,1.7154825417933572,-1.0,-0.5847953216374324,3.075420217603675,-0.9002684637999359
2024-11-04,0.4589814814814815,0.475,-375.0,-1.0,-1.0,422.8972750718049,0.065865074384028,-429.8694369468332,-376.715,-3.43,0.4899999999999997,8.321193376868672,-29.04372042501314,2.261711673599356,1.060423063115805,-1.0,-3.1347962382445194,4.2615649357222285,1.194805194805193
2024-11-05,0.4570370370370371,0.475,-50.0,-1.0,-1.0,398.38489719841215,0.17169935925651547,-58.81284916201117,-51.55,-3.1,-1.97,11.053620492677814,-18.0718717520708,2.0821734846149185,1.3680261425362494,-1.0,0.9132420091324311,4.347239553472049,-0.20024776418280377
