date,pos_percentile,basis_percentile,alpha_v1,beta_v1,disagree_v1,disagree_fixed
2025-01-13,0.575,,,,-840.0,-840.0
2025-01-14,0.68,,,,-340.0,-340.0
2025-01-15,0.92,,,,-1160.0,-1160.0
2025-01-16,0.885,,,,400.0,400.0
2025-01-17,0.92,,,,-880.0,-880.0
2025-01-20,0.935,,,,20.0,20.0
2025-01-21,0.9,,,,2200.0,2200.0
2025-01-22,0.835,,,,-680.0,-680.0
2025-01-23,0.81,,,,-380.0,-380.0
2025-01-24,0.705,,,,0.0,0.0
2025-01-27,0.68,,,,-40.0,-40.0
2025-02-05,0.815,,,,1500.0,1500.0
2025-02-06,0.92,,,,620.0,620.0
2025-02-07,0.865,,,,-300.0,-300.0
2025-02-10,0.865,,,,-800.0,-800.0
2025-02-11,0.905,,,,1300.0,1300.0
2025-02-12,0.925,,,,-200.0,-200.0
2025-02-13,0.93,,,,200.0,200.0
2025-02-14,0.94,,,,520.0,520.0
2025-02-17,0.92,,,,-380.0,-380.0
2025-02-18,0.915,,,,100.0,100.0
2025-02-19,0.89,,,,-240.0,-240.0
2025-02-20,0.875,,,,120.0,120.0
2025-02-21,0.945,,,,560.0,560.0
2025-02-24,0.945,,,,-100.0,-100.0
2025-02-25,0.92,,,,80.0,80.0
2025-02-26,0.95,,,,640.0,640.0
2025-02-27,0.945,,,,-140.0,-140.0
2025-02-28,0.975,,,,940.0,940.0
2025-03-03,0.955,,,,-200.0,-200.0
2025-03-04,0.945,,,,140.0,140.0
2025-03-05,0.935,,,,-80.0,-80.0
2025-03-06,0.91,,,,-1460.0,-1460.0
2025-03-07,0.91,,,,680.0,680.0
2025-03-10,0.9,,,,360.0,360.0
2025-03-11,0.89,,,,-200.0,-200.0
2025-03-12,0.885,,,,360.0,360.0
2025-03-13,0.91,,,,260.0,260.0
2025-03-14,0.865,,,,-200.0,-200.0
2025-03-17,0.86,,,,-700.0,-700.0
2025-03-18,0.895,,,,840.0,840.0
2025-03-19,0.845,,,,200.0,200.0
2025-03-20,0.925,,,,1940.0,1940.0
2025-03-21,0.885,,,,20.0,20.0
2025-03-24,0.81,,,,-480.0,-480.0
2025-03-25,0.705,,,,-80.0,-80.0
2025-03-26,0.56,,,,-680.0,-680.0
2025-03-27,0.515,,,,100.0,100.0
2025-03-28,0.445,,,,380.0,380.0
2025-03-31,0.4,,,,-160.0,-160.0
2025-04-01,0.35,,,,-200.0,-200.0
2025-04-02,0.355,,,,1020.0,1020.0
2025-04-03,0.33,,,,180.0,180.0
2025-04-07,0.2,,,,2100.0,2100.0
2025-04-08,0.18,,,,780.0,780.0
2025-04-09,0.1,,,,380.0,380.0
2025-04-10,0.075,,,,-640.0,-640.0
2025-04-11,0.06,,,,280.0,280.0
2025-04-14,0.05,,,,-500.0,-500.0
2025-04-15,0.04,,,,40.0,40.0
2025-04-16,0.055,0.14393939393939395,0.900530303030303,0.1,34.0,340.0
2025-04-17,0.065,0.11742424242424243,0.9087878787878788,0.1,-8.0,-80.0
2025-04-18,0.095,0.19696969696969696,0.8540151515151515,0.1459848484848485,40.875757575757575,280.0
2025-04-21,0.2,0.1590909090909091,0.8204545454545455,0.17954545454545456,211.86363636363637,1180.0
2025-04-22,0.355,0.3181818181818182,0.663409090909091,0.33659090909090905,390.4454545454545,1160.0
2025-04-23,0.355,0.06818181818181818,0.788409090909091,0.21159090909090908,-241.21363636363634,-1140.0
2025-04-24,0.41,0.26515151515151514,0.6624242424242425,0.33757575757575753,229.55151515151513,680.0
2025-04-25,0.425,0.2878787878787879,0.643560606060606,0.35643939393939394,42.77272727272727,120.0
2025-04-28,0.785,0.2803030303030303,0.46734848484848485,0.5326515151515152,649.8348484848485,1220.0
2025-04-29,0.825,0.3712121212121212,0.4018939393939394,0.5981060606060606,418.67424242424244,700.0
2025-04-30,0.76,0.36363636363636365,0.4381818181818182,0.5618181818181818,168.54545454545453,300.0
2025-05-06,0.865,0.3181818181818182,0.40840909090909094,0.5915909090909091,414.1136363636363,700.0
2025-05-07,0.96,0.3939393939393939,0.32303030303030306,0.676969696969697,744.6666666666667,1100.0
2025-05-08,0.925,0.07575757575757576,0.4996212121212121,0.5003787878787879,-60.04545454545455,-120.0
2025-05-09,0.99,0.4015151515151515,0.30424242424242426,0.6957575757575758,876.6545454545455,1260.0
2025-05-12,0.97,0.06060606060606061,0.48469696969696974,0.5153030303030303,-525.6090909090909,-1020.0
2025-05-13,0.995,0.19696969696969696,0.4040151515151515,0.5959848484848485,488.70757575757574,820.0
2025-05-14,0.95,0.05303030303030303,0.49848484848484853,0.5015151515151515,-992.9999999999999,-1980.0
2025-05-15,0.98,0.06818181818181818,0.47590909090909095,0.524090909090909,566.0181818181818,1080.0
2025-05-16,1.0,0.3787878787878788,0.3106060606060606,0.6893939393939394,1599.3939393939395,2320.0
2025-05-19,1.0,0.3371212121212121,0.3314393939393939,0.6685606060606061,414.50757575757575,620.0
2025-05-20,1.0,0.4393939393939394,0.2803030303030303,0.7196969696969697,230.3030303030303,320.0
2025-05-21,0.99,0.25,0.38,0.62,-148.8,-240.0
2025-05-22,0.975,0.16666666666666666,0.4291666666666667,0.5708333333333333,-593.6666666666666,-1040.0
2025-05-23,0.975,0.3787878787878788,0.3231060606060606,0.6768939393939394,798.7348484848485,1180.0
2025-05-26,0.98,0.4772727272727273,0.27136363636363636,0.7286363636363636,626.6272727272727,860.0
