entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2014-07-21,2014-07-24,1,0.6,3,0.0236456150853038,0.0206456150853038,neutral_revert
2014-07-25,2014-07-29,1,1.0,2,0.0,-0.003,gmm_transition
2014-09-18,2014-09-19,-1,0.6,1,-0.002769230769230769,-0.0057692307692307696,gmm_transition
2014-09-22,2014-09-23,-1,1.0,1,-0.009727016002510198,-0.012727016002510198,neutral_revert
2014-10-16,2014-10-20,-1,0.6,2,0.001534683855125844,-0.001465316144874156,neutral_revert
2015-01-14,2015-01-15,-1,1.0,1,-0.015355086372360844,-0.018355086372360843,neutral_revert
2015-04-28,2015-04-29,1,1.0,1,-0.00910960916838084,-0.01210960916838084,neutral_revert
2015-05-04,2015-05-05,1,1.0,1,-0.008134805345729227,-0.011134805345729228,neutral_revert
2015-05-06,2015-05-07,1,1.0,1,-0.010650546919976972,-0.013650546919976973,neutral_revert
2015-05-13,2015-05-14,1,1.0,1,-0.008168028004667444,-0.011168028004667443,neutral_revert
2015-06-17,2015-06-24,-1,1.0,4,0.006918238993710692,0.003918238993710692,neutral_revert
2015-06-25,2015-06-26,-1,0.6,1,0.0003198976327575176,-0.0026801023672424823,gmm_transition
2015-07-06,2015-07-07,-1,1.0,1,-0.00462198745460548,-0.00762198745460548,neutral_revert
2015-07-08,2015-07-09,-1,1.0,1,-0.04361263736263736,-0.04661263736263736,neutral_revert
2015-07-22,2015-07-23,-1,1.0,1,-0.00295955277869122,-0.00595955277869122,gmm_transition
2015-07-24,2015-07-28,-1,1.0,2,0.01001001001001001,0.00701001001001001,neutral_revert
2015-07-30,2015-07-31,-1,0.6,1,-0.0023569023569023568,-0.005356902356902357,gmm_transition
2015-08-03,2015-08-04,-1,1.0,1,-0.010284538909838875,-0.013284538909838876,neutral_revert
2015-08-07,2015-08-10,-1,0.6,1,-0.008327550312283136,-0.011327550312283136,neutral_revert
2015-09-21,2015-09-23,-1,1.0,2,0.004384362440628425,0.0013843624406284253,neutral_revert
2015-11-11,2015-11-12,-1,1.0,1,-0.01796875,-0.020968749999999998,neutral_revert
2015-11-17,2015-11-20,-1,0.6,3,0.007134363852556481,0.0041343638525564805,neutral_revert
2016-02-04,2016-02-05,1,1.0,1,-0.007888131946934385,-0.010888131946934384,gmm_transition
2016-04-21,2016-04-22,1,0.6,1,-0.01794453507340946,-0.02094453507340946,neutral_revert
2016-04-29,2016-05-03,1,0.6,1,0.0035971223021582736,0.0005971223021582735,gmm_transition
2016-06-02,2016-06-03,1,0.6,1,0.0006418485237483953,-0.0023581514762516047,gmm_transition
2016-06-13,2016-06-14,1,0.6,1,-0.009773013871374527,-0.012773013871374528,neutral_revert
2016-07-04,2016-07-05,1,0.6,1,-0.018203521336914354,-0.021203521336914354,neutral_revert
2016-07-19,2016-07-20,1,1.0,1,-0.004916136495083863,-0.007916136495083863,neutral_revert
2016-08-10,2016-08-11,1,1.0,1,-0.007588532883642495,-0.010588532883642495,neutral_revert
2016-09-01,2016-09-05,1,0.6,2,0.002998092123194331,-1.9078768056690794e-06,neutral_revert
2016-09-26,2016-09-27,-1,0.6,1,-0.020385050962627407,-0.023385050962627406,neutral_revert
2016-11-03,2016-11-08,1,0.6,3,0.011456211812627291,0.00845621181262729,neutral_revert
2016-11-10,2016-11-15,1,1.0,3,0.012952746461981291,0.009952746461981292,neutral_revert
2016-11-18,2016-11-23,1,0.6,3,0.03350885591191958,0.03050885591191958,neutral_revert
2016-11-24,2016-11-29,1,1.0,3,0.05361098803721755,0.050610988037217544,neutral_revert
2016-12-26,2016-12-27,-1,1.0,1,-0.023226457965160312,-0.02622645796516031,neutral_revert
2017-03-09,2017-03-10,-1,0.6,1,-0.015733456732993985,-0.018733456732993984,neutral_revert
2017-04-11,2017-04-12,-1,1.0,1,0.0023446658851113715,-0.0006553341148886286,gmm_transition
2017-06-07,2017-06-08,-1,0.6,1,-0.02531645569620253,-0.02831645569620253,neutral_revert
2017-06-13,2017-06-14,-1,0.6,1,-0.015444015444015444,-0.018444015444015444,neutral_revert
2017-08-17,2017-08-22,1,1.0,3,0.01289701636188643,0.009897016361886429,gmm_transition
2017-10-09,2017-10-10,1,1.0,1,-0.03529411764705882,-0.038294117647058826,neutral_revert
2018-01-29,2018-01-30,1,1.0,1,-0.008501201256699316,-0.011501201256699317,neutral_revert
2018-03-05,2018-03-12,-1,1.0,5,0.025925925925925925,0.022925925925925926,neutral_revert
2018-03-15,2018-03-22,-1,1.0,5,0.0006033789219629927,-0.0023966210780370072,neutral_revert
