date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close
2025-06-24,22375.0,-800.0,-60.0,0.1883988900726558,343564.0,0,1.0,60700.0
2025-06-25,22370.0,-680.0,-20.0,0.1878551096863918,350406.0,0,1.0,60880.0
2025-06-26,22590.0,-900.0,-140.0,0.2027189246590973,345216.0,0,1.0,61500.0
2025-06-27,21998.0,-2150.0,80.0,0.2509015153622617,341448.0,0,1.0,63300.0
2025-06-30,22628.0,-960.0,20.0,0.2679452317534279,330824.0,0,1.0,62260.0
2025-07-01,22940.0,-1480.0,100.0,0.2927095749583331,326676.0,0,1.0,62780.0
2025-07-02,23180.0,-2310.0,-80.0,0.344631620392021,325574.0,0,1.0,63960.0
2025-07-03,22880.0,-1980.0,0.0,0.3855482960849108,334057.0,0,1.0,64080.0
2025-07-04,21036.0,-980.0,-120.0,0.4034551701616607,325288.0,0,1.0,63280.0
2025-07-07,15555.0,-1110.0,-80.0,0.4252340313441728,322534.0,0,1.0,63660.0
2025-07-08,12655.0,-980.0,-20.0,0.4466769853848328,338034.0,0,1.0,63880.0
2025-07-09,13281.0,-1100.0,-200.0,0.4751246858384367,326895.0,0,1.0,64400.0
2025-07-10,13191.0,-530.0,-220.0,0.4905453657293045,323683.0,0,1.0,64180.0
2025-07-11,11603.0,-530.0,-100.0,0.4936851067894183,322860.0,0,1.0,64280.0
2025-07-14,11204.0,-1830.0,-120.0,0.5303542055136713,356161.0,0,1.0,66480.0
2025-07-15,11203.0,-1760.0,-40.0,0.5569521817412364,342146.0,0,1.0,66660.0
2025-07-16,10655.0,-1470.0,-160.0,0.5655002106642232,340618.0,2,1.0,66420.0
2025-07-17,10239.0,-3010.0,60.0,0.5951029678851827,363676.0,2,1.0,67960.0
2025-07-18,10239.0,-3310.0,-80.0,0.6248319107211473,377305.0,2,1.0,69960.0
2025-07-21,9969.0,-3280.0,320.0,0.6636796365782262,381185.0,2,1.0,71280.0
2025-07-22,10089.0,-3780.0,220.0,0.7479733351492208,411638.0,1,1.0,72880.0
2025-07-23,10754.0,1070.0,100.0,0.7358065283321056,362054.0,1,1.0,69380.0
2025-07-24,11654.0,-6130.0,360.0,0.8781536171044417,436727.0,1,0.9988,76680.0
2025-07-25,11996.0,-7620.0,580.0,1.090520622551864,491088.0,1,0.9951,80520.0
2025-07-28,12276.0,780.0,80.0,1.093686371161553,378472.0,1,0.9999,73120.0
2025-07-29,12276.0,2310.0,180.0,1.0694606856488853,300620.0,1,1.0,70840.0
2025-07-30,13131.0,2350.0,100.0,1.0517794394164872,272753.0,1,1.0,70600.0
2025-07-31,5545.0,3720.0,20.0,1.024729869541296,229368.0,1,1.0,68280.0
2025-08-01,6605.0,2430.0,140.0,0.9812863766260312,216103.0,1,1.0,68920.0
2025-08-04,12603.0,2430.0,-80.0,0.9378749862301724,207770.0,1,0.8885,68920.0
2025-08-05,14443.0,3360.0,-300.0,0.8953714411801559,232062.0,1,0.9999,67840.0
2025-08-06,15023.0,1330.0,20.0,0.85300928331419,257770.0,1,1.0,69620.0
2025-08-07,16443.0,-1200.0,220.0,0.807207000722079,289832.0,1,1.0,72300.0
2025-08-08,18829.0,-5060.0,600.0,0.8057085282932849,320706.0,1,1.0,76960.0
