date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main
2024-03-14,14605.0,150.0,-2200.0,1.354828107541246,210848
2024-03-15,14453.0,-2800.0,-300.0,1.2995935919188755,206667
2024-03-18,14363.0,-4350.0,-600.0,1.2096147429860307,205503
2024-03-19,13798.0,-2400.0,-600.0,1.0357365629631827,202175
2024-03-20,13491.0,-4650.0,-200.0,0.9102525454081566,204597
2024-03-21,13503.0,-4800.0,-650.0,0.7549165591877921,208023
2024-03-22,14002.0,-1800.0,-750.0,0.6382315050765128,200633
2024-03-25,13101.0,5050.0,-500.0,0.5462443759855757,206188
2024-03-26,13578.0,2100.0,-850.0,0.5213570825646683,200797
2024-03-27,14291.0,1350.0,-700.0,0.5160653165923109,201977
2024-03-28,12980.0,1250.0,-750.0,0.5303507571555833,199818
2024-03-29,0.0,2700.0,-1250.0,0.5480273034995178,196813
2024-04-01,9995.0,-2850.0,-2300.0,0.5332186717604572,200099
2024-04-02,11442.0,-250.0,-850.0,0.5353263239652055,191181
2024-04-03,12702.0,-750.0,-1000.0,0.5366334466476117,183070
2024-04-08,13692.0,-1650.0,450.0,0.5367062122416121,183798
2024-04-09,15232.0,-2150.0,-600.0,0.5375083842894736,184198
2024-04-10,15778.0,-2700.0,-900.0,0.5351323225069045,184304
2024-04-11,16830.0,750.0,0.0,0.4927694755788273,180154
2024-04-12,17440.0,550.0,-250.0,0.45547779593216975,178440
2024-04-15,17869.0,1000.0,-150.0,0.4559358627683178,179104
2024-04-16,18882.0,3350.0,-1600.0,0.4678761828353931,179955
2024-04-17,19422.0,2100.0,-800.0,0.4496051023061471,175021
2024-04-18,19642.0,3100.0,-900.0,0.4495276262992154,174354
2024-04-19,19677.0,3700.0,-800.0,0.4246998448756799,176344
2024-04-22,19727.0,2850.0,-850.0,0.37843642763903057,177912
2024-04-23,19137.0,2100.0,-950.0,0.35975525840203865,176631
2024-04-24,19524.0,850.0,-950.0,0.34628490488491215,178807
2024-04-25,19413.0,2150.0,-900.0,0.3407669353958744,176148
2024-04-26,19613.0,1350.0,-700.0,0.3341429559506017,172606
2024-04-29,19558.0,-4650.0,-1250.0,0.3637088247147884,193148
2024-04-30,19558.0,300.0,-550.0,0.3393609867514374,179848
2024-05-06,20373.0,-650.0,-1150.0,0.3385679802384466,185096
2024-05-07,20984.0,-2050.0,-1600.0,0.3488360371875095,189460
2024-05-08,22834.0,-200.0,-350.0,0.3492798852254535,190964
2024-05-09,23168.0,-200.0,-700.0,0.3423492481351452,193390
2024-05-10,23124.0,2750.0,-1350.0,0.3401996019509294,195326
2024-05-13,23303.0,2650.0,-750.0,0.3205670293585317,198230
2024-05-14,23783.0,4250.0,-1200.0,0.35904820577209157,198922
2024-05-15,23728.0,4750.0,-800.0,0.4204654145671552,201318
2024-05-16,23848.0,3000.0,-600.0,0.45237082832318193,197287
2024-05-17,23728.0,550.0,-950.0,0.46021984292969575,184611
2024-05-20,23858.0,1100.0,-3050.0,0.4713861648472869,184221
2024-05-21,23858.0,200.0,-3050.0,0.47692748009930214,178009
2024-05-22,24373.0,500.0,-3050.0,0.48240897593958487,180239
2024-05-23,24052.0,350.0,-2750.0,0.4902445839505964,173259
2024-05-24,24352.0,-1100.0,-2300.0,0.4913304145253712,168876
2024-05-27,24311.0,300.0,-2650.0,0.4937905630944793,171639
2024-05-28,24451.0,1300.0,-2800.0,0.5044364612359717,170519
2024-05-29,24726.0,1000.0,-2950.0,0.5101939444558086,166699
2024-05-30,24846.0,0.0,-3050.0,0.4422675547136424,162442
2024-05-31,24996.0,1050.0,-3000.0,0.42947237510100184,161329
2024-06-03,26176.0,2200.0,-2500.0,0.41631654598583095,165260
2024-06-04,26583.0,1950.0,-3200.0,0.3716171721287358,168086
2024-06-05,27424.0,2200.0,-3200.0,0.372804813766338,168133
2024-06-06,27644.0,250.0,-2750.0,0.33635092014656387,159275
2024-06-07,27664.0,1125.0,-1750.0,0.3539687898349095,154804
2024-06-11,27960.0,3350.0,650.0,0.42758821439811073,152300
2024-06-12,27930.0,1000.0,-5100.0,0.4664924459479633,140001
2024-06-13,27900.0,1500.0,-2900.0,0.5087402737191116,131634
2024-06-14,28220.0,1550.0,-2450.0,0.556024096547278,126620
2024-06-17,28220.0,1800.0,-1650.0,0.5970417424751614,121045
2024-06-18,28070.0,4350.0,-3550.0,0.6760226798794137,115233
2024-06-19,27950.0,1400.0,-2850.0,0.7074562632689756,103750
2024-06-20,27835.0,450.0,-2900.0,0.7215270457815489,95216
2024-06-21,28195.0,2950.0,-3350.0,0.7577614511880671,87161
2024-06-24,27975.0,4600.0,-3500.0,0.8142945707029348,73742
2024-06-25,28410.0,1550.0,-3250.0,0.8294400335041232,56844
2024-06-26,28340.0,-850.0,-3150.0,0.813551599118502,40943
2024-06-27,28560.0,-2900.0,-3850.0,0.7693953940064858,142021
2024-06-28,28444.0,-3000.0,-5200.0,0.7004929642971541,151305
2024-07-01,28543.0,-4950.0,-5050.0,0.6294625320409272,161162
2024-07-02,28485.0,-3350.0,-4250.0,0.581173627264017,166674
2024-07-03,28703.0,-4100.0,-3650.0,0.532454483611885,169401
2024-07-04,27311.0,-3200.0,-4250.0,0.5047757065322976,174503
2024-07-05,27297.0,-3350.0,-4250.0,0.4481546302130836,168777
2024-07-08,30216.0,-3100.0,-3050.0,0.3980231352453241,173942
2024-07-09,30103.0,-3700.0,-4850.0,0.3836674201277122,170658
2024-07-10,29921.0,-1450.0,-3800.0,0.3545980900745621,176216
2024-07-11,29776.0,-2650.0,-4250.0,0.32170544055186606,169488
2024-07-12,29753.0,-1600.0,-3150.0,0.3032827986434336,170948
2024-07-15,29346.0,1500.0,-1250.0,0.34807978136942214,186340
2024-07-16,29805.0,-850.0,-1300.0,0.3808137034175324,183897
2024-07-17,33102.0,500.0,-1250.0,0.43712940036870895,189619
2024-07-18,32666.0,-1500.0,-1150.0,0.4586512645738923,188020
2024-07-19,34349.0,-3400.0,-1300.0,0.465885451077902,188958
2024-07-22,34702.0,-2600.0,-1200.0,0.4616502818397315,189656
2024-07-23,36125.0,-1550.0,-1150.0,0.4830622822810312,186336
2024-07-24,35862.0,-1000.0,-900.0,0.5167667224776183,188091
2024-07-25,36067.0,-2200.0,-950.0,0.5279825527290464,188050
2024-07-26,36067.0,-1000.0,-950.0,0.5473589293692745,193373
2024-07-29,33645.0,850.0,-800.0,0.5817503573048584,207937
2024-07-30,32177.0,1250.0,-1050.0,0.6607462805128078,215920
2024-07-31,0.0,-700.0,-1200.0,0.6785008349786494,209232
2024-08-01,13419.0,850.0,-1000.0,0.7178502714630679,222825
2024-08-02,26922.0,-200.0,-700.0,0.7340666411232755,215611
2024-08-05,28973.0,-1000.0,-900.0,0.7276292991637789,210593
2024-08-06,31753.0,-750.0,-800.0,0.6988340629722304,207139
2024-08-07,33093.0,100.0,-900.0,0.7001661737204417,209655
2024-08-08,33191.0,1750.0,900.0,0.7020596408843547,219537
2024-08-09,33191.0,2700.0,650.0,0.7161242830213722,221881
2024-08-12,36080.0,2150.0,-150.0,0.7809676081753111,230478
2024-08-13,36330.0,1050.0,-250.0,0.7982967415133799,221774
2024-08-14,36430.0,4000.0,-750.0,0.8857090425808684,230303
2024-08-15,36780.0,2950.0,-750.0,0.9565604151447639,229864
2024-08-16,36620.0,2250.0,-750.0,0.9623111192277851,225197
2024-08-19,36700.0,1300.0,-900.0,0.9463236053323448,226887
2024-08-20,36819.0,-300.0,-650.0,0.9029251336219021,227057
2024-08-21,37917.0,-3050.0,-850.0,0.839302399714787,224646
2024-08-22,38077.0,-570.0,-750.0,0.7691039587398228,220587
2024-08-23,38935.0,900.0,-750.0,0.7222066318688172,217889
2024-08-26,38875.0,-150.0,-750.0,0.6878702156348804,221357
2024-08-27,40061.0,-1850.0,-850.0,0.6647619547084864,222639
2024-08-28,40061.0,-1500.0,-850.0,0.6124014901585927,227100
2024-08-29,40061.0,-2600.0,-750.0,0.5806969111323805,236888
2024-08-30,41908.0,-4300.0,-750.0,0.553994585846662,232278
2024-09-02,42448.0,-550.0,-1300.0,0.5015527305113068,229216
2024-09-03,42888.0,-850.0,-900.0,0.4410267085660741,233484
2024-09-04,43707.0,250.0,-750.0,0.3956715866171447,234032
2024-09-05,43237.0,2750.0,-750.0,0.42536249251789976,245150
2024-09-06,43447.0,1400.0,-650.0,0.4438633417965885,239300
2024-09-09,43692.0,-900.0,-900.0,0.44483123344675995,234926
2024-09-10,43582.0,300.0,-250.0,0.4423052633962627,236989
2024-09-11,43492.0,-5050.0,-2000.0,0.4780132711798675,254596
2024-09-12,42511.0,-3150.0,50.0,0.47730916554117875,246549
2024-09-13,42190.0,-3250.0,-2400.0,0.48408466737881667,239306
2024-09-18,42034.0,-1000.0,-2300.0,0.4775638173638838,231645
2024-09-19,41897.0,-1650.0,-2350.0,0.4782886353583108,226801
2024-09-20,41762.0,-1100.0,-2550.0,0.45998175510690986,225720
2024-09-23,42188.0,-850.0,-2000.0,0.4595532737525264,221399
2024-09-24,42233.0,-2150.0,-2150.0,0.4592132975413,231192
2024-09-25,42333.0,,,0.4600036942796211,240716
2024-09-26,42863.0,-2000.0,-2600.0,0.4656251391031939,222721
2024-09-27,43563.0,-1400.0,-2500.0,0.47135775432052385,222019
2024-09-30,43563.0,-4100.0,-3350.0,0.507204325087883,217601
