date,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2024-05-28,105000.0,107300.0,107750.0,104750.0,114804,170519,105000.0,-500.0,106300.0,0.0,-600.0,0.0,-9850000.0,1.0,7.124576406741286e-218,-4.274745844044771e-215,1.0,1
2024-05-29,105200.0,104850.0,105900.0,103800.0,94508,166699,105200.0,600.0,106200.0,0.0,100.0,0.0,-9850000.0,1.0,7.124576406741286e-218,7.124576406741285e-216,1.0,1
2024-05-30,106000.0,106000.0,107750.0,104900.0,129912,162442,106000.0,-400.0,106000.0,0.0,400.0,0.0,-10670000.0,1.0,7.124576406741286e-218,2.849830562696514e-215,1.0,1
2024-05-31,104850.0,106000.0,107200.0,104200.0,102574,161329,104850.0,-400.0,105900.0,0.0,-575.0,0.0,2220000.0,7.124576406741286e-218,1.0,-575.0,-1.0,1
2024-06-03,102700.0,104000.0,104500.0,101050.0,134238,165260,102700.0,900.0,104900.0,0.0,-1075.0,0.0,5570000.0,7.124576406741286e-218,1.0,-1075.0,-1.0,1
2024-06-04,101850.0,102700.0,103400.0,101400.0,80207,168086,101850.0,950.0,103800.0,0.0,-425.0,0.0,5771250.0,7.124576406741286e-218,1.0,-425.0,-1.0,1
2024-06-05,99800.0,101900.0,102350.0,99250.0,122591,168133,99800.0,1350.0,102000.0,0.0,-1025.0,0.0,8030000.0,7.124576406741286e-218,1.0,-1025.0,-1.0,1
2024-06-06,101150.0,100300.0,101350.0,99300.0,95005,159275,101150.0,1300.0,101400.0,0.0,675.0,0.0,6322500.0,7.124576406741286e-218,1.0,675.0,-1.0,1
2024-06-07,100050.0,102000.0,102350.0,99800.0,92938,154804,100050.0,625.0,101175.0,0.0,-550.0,0.0,4993750.0,7.124576406741286e-218,1.0,-550.0,-1.0,1
2024-06-11,97000.0,100000.0,100300.0,96750.0,104245,152300,97000.0,2100.0,100350.0,0.0,-1525.0,0.0,4577500.0,7.124576406741286e-218,1.0,-1525.0,-1.0,1
2024-06-12,98450.0,97500.0,98500.0,95200.0,143742,140001,98450.0,3950.0,99450.0,0.0,725.0,0.0,1053750.0,7.124576406741286e-218,1.0,725.0,-1.0,1
2024-06-13,97800.0,98200.0,99300.0,96050.0,125979,131634,97800.0,1000.0,99300.0,0.0,-325.0,0.0,-1517500.0,1.0,7.124576406741286e-218,-2.3154873321909178e-215,1.0,1
2024-06-14,96900.0,97800.0,98250.0,96250.0,79212,126620,96900.0,1500.0,98450.0,0.0,-450.0,0.0,-225000.0,1.0,7.124576406741286e-218,-3.2060593830335785e-215,1.0,1
2024-06-17,95800.0,96500.0,97100.0,95500.0,77371,121045,95800.0,1500.0,97600.0,0.0,-550.0,0.0,-955000.0,1.0,7.124576406741286e-218,-3.918517023707707e-215,1.0,1
2024-06-18,92800.0,96500.0,97050.0,92700.0,119713,115233,92800.0,2950.0,97150.0,0.0,-1500.0,0.0,1246250.0,7.124576406741286e-218,1.0,-1500.0,-1.0,1
2024-06-19,94000.0,93350.0,94500.0,92500.0,82575,103750,94000.0,2550.0,95400.0,0.0,600.0,0.0,-396250.0,1.0,7.124576406741286e-218,4.274745844044771e-215,1.0,1
2024-06-20,94400.0,94000.0,94950.0,93400.0,61431,95216,94400.0,1150.0,94850.0,0.0,200.0,0.0,-51250.0,1.0,7.124576406741286e-218,1.424915281348257e-215,1.0,1
2024-06-21,91900.0,94600.0,95550.0,91800.0,89876,87161,91900.0,0.0,94850.0,0.0,-1250.0,0.0,-588750.0,1.0,7.124576406741286e-218,-8.905720508426607e-215,1.0,1
2024-06-24,88550.0,91150.0,92500.0,87650.0,93395,73742,88550.0,3700.0,93150.0,0.0,-1675.0,0.0,3780000.0,7.124576406741286e-218,1.0,-1675.0,-1.0,1
2024-06-25,90250.0,88600.0,90600.0,86000.0,114695,56844,90250.0,4900.0,91800.0,0.0,850.0,0.0,1947500.0,7.124576406741286e-218,1.0,850.0,-1.0,1
2024-06-26,92550.0,91000.0,93600.0,88950.0,119386,40943,92550.0,1700.0,91700.0,0.0,1150.0,0.0,3062500.0,7.124576406741286e-218,1.0,1150.0,-1.0,1
2024-06-27,94600.0,96650.0,96900.0,94300.0,150614,142021,94600.0,-3750.0,91700.0,0.0,1025.0,0.0,5540000.0,7.124576406741286e-218,1.0,1025.0,-1.0,1
2024-06-28,94500.0,94000.0,95500.0,93100.0,176810,151305,94500.0,-2800.0,91500.0,0.0,-50.0,0.0,5357500.0,7.124576406741286e-218,1.0,-50.0,-1.0,1
2024-07-01,95650.0,93800.0,95800.0,91350.0,186860,161162,95650.0,-1800.0,90700.0,0.0,575.0,0.0,5760000.0,7.124576406741286e-218,1.0,575.0,-1.0,1
2024-07-02,94050.0,95400.0,96250.0,93800.0,140825,166674,94050.0,-4050.0,90700.0,0.0,-800.0,0.0,3603750.0,7.124576406741286e-218,1.0,-800.0,-1.0,1
2024-07-03,94550.0,94000.0,95450.0,93100.0,135067,169401,94550.0,-3550.0,90450.0,0.0,250.0,0.0,2290000.0,7.124576406741286e-218,1.0,250.0,-1.0,1
2024-07-04,93950.0,95100.0,96100.0,93650.0,140991,174503,93950.0,-4350.0,90750.0,0.0,-300.0,0.0,1268750.0,7.124576406741286e-218,1.0,-300.0,-1.0,1
2024-07-05,93900.0,93550.0,95150.0,92200.0,143190,168777,93900.0,-3100.0,90550.0,0.0,-25.0,0.0,2667500.0,7.124576406741286e-218,1.0,-25.0,-1.0,1
2024-07-08,93650.0,94200.0,95150.0,93200.0,129708,173942,93650.0,-3800.0,90550.0,0.0,-125.0,0.0,3416250.0,7.124576406741286e-218,1.0,-125.0,-1.0,1
