date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2023-12-26,107100.000000,-0.013072,0.005602,-0.004669,1.000000,2125.000000,-1.000000,-7350.000000,-7.461929,98500.000000,260868.000000,155209.000000,0.051030,0.150376,-0.053887,-0.703500,1.021100,0.588600,-0.688500,,-1.789200,-0.314300,,
2023-12-27,105700.000000,0.008042,0.025071,-0.049669,1.000000,-700.000000,-1.000000,-10350.000000,-10.670103,97000.000000,264253.000000,150793.000000,0.048611,0.020763,-0.037779,-0.703500,1.021100,0.588600,-0.696600,,-1.946900,-0.347500,,
2023-12-28,106550.000000,0.010793,0.000469,-0.074144,1.000000,425.000000,-1.000000,-9250.000000,-9.536082,97000.000000,153833.000000,152061.000000,0.091701,0.039005,0.003296,-0.703500,1.021100,0.110300,-0.677200,,-1.835800,-0.417000,,
2023-12-29,107700.000000,0.006035,-0.067317,-0.097493,0.000000,0.000000,1.000000,-8400.000000,-8.668731,96900.000000,197334.000000,142958.000000,0.068452,0.029637,0.058477,-0.809700,1.021100,0.110300,-0.652900,,-1.746700,-0.415600,,
2024-01-02,108350.000000,-0.016151,-0.089525,-0.086756,0.000000,0.000000,1.000000,-10400.000000,-10.732714,96900.000000,143702.000000,145602.000000,0.053476,0.054501,0.124546,-0.809700,1.021100,0.110300,-0.460100,,-1.839700,-0.395600,,
2024-01-03,106600.000000,-0.057692,-0.088180,-0.081614,0.000000,-0.000000,1.000000,-11200.000000,-11.558308,96900.000000,129883.000000,141743.000000,-0.004669,0.046124,0.145621,-0.809700,1.021100,0.110300,-0.439100,,-1.853400,-0.394200,,
2024-01-04,100450.000000,-0.017919,-0.014933,0.042310,0.000000,-0.000000,1.000000,-8300.000000,-8.565531,96900.000000,194855.000000,148982.000000,-0.049669,-0.003472,0.086533,-0.955400,1.021100,-0.403700,-0.413600,,-1.641000,-0.478500,,
2024-01-05,98650.000000,-0.014698,-0.007603,0.042575,0.000000,-0.000000,1.000000,-2450.000000,-2.538860,96500.000000,182344.000000,154263.000000,-0.074144,0.010758,0.031904,-0.955400,1.021100,-0.403700,-0.396800,,-1.256500,-0.398300,,
2024-01-08,97200.000000,0.018004,0.077160,0.048868,0.000000,-0.000000,1.000000,-3000.000000,-3.115265,96300.000000,146847.000000,157724.000000,-0.097493,-0.035714,-0.049853,-0.955400,1.021100,-0.403700,-0.375100,,-1.276300,-0.397900,,
2024-01-09,98950.000000,-0.010611,0.039414,0.052552,0.000000,0.000000,1.000000,-1550.000000,-1.614583,96000.000000,203361.000000,162038.000000,-0.086756,-0.037919,0.022211,-0.955400,1.021100,-0.403700,-0.368100,,-1.172900,-0.375800,,
2024-01-10,97900.000000,0.069459,0.041369,0.039326,0.000000,-0.000000,1.000000,-3250.000000,-3.385417,96000.000000,107149.000000,159002.000000,-0.081614,-0.085901,0.051557,-0.955400,1.021100,-0.403700,-0.352200,,-1.265400,-0.391100,,
2024-01-11,104700.000000,-0.017670,-0.005253,-0.021968,1.000000,3400.000000,-1.000000,-3450.000000,-3.593750,96000.000000,214428.000000,157286.000000,0.042310,-0.009461,0.011106,-0.798800,1.021100,-0.701700,-0.341200,,-1.263800,-0.416900,,
2024-01-12,102850.000000,-0.008751,-0.010695,-0.014098,0.000000,-0.000000,1.000000,-7700.000000,-8.004158,96200.000000,142605.000000,155914.000000,0.042575,-0.034725,0.002925,-0.798800,1.021100,-0.701700,-0.318000,,0.144300,-0.130600,,
2024-01-15,101950.000000,0.021579,0.004414,-0.020598,1.000000,-450.000000,-1.000000,-5950.000000,-6.185031,96200.000000,103038.000000,156970.000000,0.048868,-0.053389,-0.025335,-0.798800,1.021100,-0.701700,-0.301000,,0.528200,-0.050400,,
