date,basis,spot_avg
2008-05-30,,58500.0
2008-06-02,,58500.0
2008-06-03,,58500.0
2008-06-04,,58500.0
2008-06-05,,58500.0
2008-06-06,,58500.0
2008-06-10,,58500.0
2008-06-11,,58500.0
2008-06-12,,58500.0
2008-06-13,,58500.0
2008-06-16,,58500.0
2008-06-17,,58500.0
2008-06-18,,58500.0
2008-06-19,,60500.0
2008-06-20,,60500.0
2008-06-23,,60500.0
2008-06-24,,60500.0
2008-06-25,,60500.0
2008-06-26,,60500.0
2008-06-27,,60500.0
2008-06-30,,60500.0
2008-07-01,,60500.0
2008-07-02,,60500.0
2008-07-03,,60500.0
2008-07-04,,60500.0
2008-07-07,,60500.0
2008-07-08,,60500.0
2008-07-09,,60500.0
2008-07-10,,60500.0
2008-07-11,,60500.0
2008-07-14,,60500.0
2008-07-15,,60500.0
2008-07-16,,60500.0
2008-07-17,,60500.0
2008-07-18,,60500.0
2008-07-21,,60500.0
2008-07-22,,60500.0
2008-07-23,,60500.0
2008-07-24,,60500.0
2008-07-25,,60500.0
2008-07-28,,60500.0
2008-07-29,,60500.0
2008-07-30,,60500.0
2008-07-31,,60500.0
2008-08-01,,60500.0
2008-08-04,,60500.0
2008-08-05,,60500.0
2008-08-06,,60500.0
2008-08-07,,60500.0
2008-08-08,,60500.0
2008-08-11,,60500.0
2008-08-12,,60500.0
2008-08-13,,60500.0
2008-08-14,,60500.0
2008-08-15,,60500.0
2008-08-18,,60500.0
2008-08-19,,60500.0
2008-08-20,,60500.0
2008-08-21,,60500.0
2008-08-22,,60500.0
2008-08-25,,60500.0
2008-08-26,,60500.0
2008-08-27,,60500.0
2008-08-28,,60500.0
2008-08-29,,60500.0
2008-09-01,,60500.0
2008-09-02,,60500.0
2008-09-03,,60500.0
2008-09-04,,60500.0
2008-09-05,,60500.0
2008-09-08,,60500.0
2008-09-09,,60500.0
2008-09-10,,60500.0
2008-09-11,,60500.0
2008-09-12,,60500.0
2008-09-16,,60500.0
2008-09-17,,60500.0
2008-09-18,,60500.0
2008-09-19,,60500.0
2008-09-22,,60500.0
2008-09-23,,60500.0
2008-09-24,,60500.0
2008-09-25,,60500.0
2008-09-26,,60500.0
2008-10-06,,60500.0
2008-10-07,,60500.0
2008-10-08,,60500.0
2008-10-09,,60500.0
2008-10-10,,60500.0
2008-10-13,,60500.0
2008-10-14,,60500.0
2008-10-15,,60500.0
2008-10-16,,60500.0
2008-10-17,,60500.0
2008-10-20,,60500.0
2008-10-21,,60500.0
2008-10-22,,60500.0
2008-10-23,,60500.0
2008-10-24,,60500.0
2008-10-27,,60500.0
2008-10-28,,60500.0
2008-10-29,,60500.0
