date,close,P_fund,Total_Demand,n_f,n_c,n_f_minus_n_c,D_f,D_c,profit_f,profit_c,valid
2025-05-06,22355.0,23502.190464380983,295440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-07,22210.0,23333.518414572147,295440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-08,22175.0,23280.99411927707,295440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-09,22190.0,23322.66055439534,350800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-12,22490.0,23621.755596603918,350800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-13,22325.0,23432.79780630058,350800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-14,22710.0,23821.406903002975,350800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-15,22590.0,23680.52692694844,350800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-16,22500.0,23571.619445887547,361325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-19,22455.0,23510.30826947114,361325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-20,22220.0,23250.5893563757,361325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-21,22410.0,23435.94206084348,361325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-22,22245.0,23250.342288156055,361325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-23,22215.0,23206.258366058715,359535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-26,22185.0,23162.49564621484,359535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-27,22330.0,23301.65555743121,359535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-28,22210.0,23164.533992611494,359535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-29,22495.0,23449.98559224299,359535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-05-30,22225.0,23235.130565019,310640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-03,22180.0,23175.381091088293,310640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-04,22420.0,23413.602946478688,310640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-05,22340.0,23317.83308582001,310640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-06,22385.0,23352.82205882238,343925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-09,21910.0,22845.810711243765,343925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-10,21845.0,22766.834928584798,343925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-11,22140.0,23063.167410357844,343925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-12,22085.0,22995.010378035156,343925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-13,21815.0,22703.367765062314,350645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-16,21840.0,22719.06228273536,350645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-17,21905.0,22776.523012924903,350645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-18,22060.0,22927.655393312987,350645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-19,21680.0,22523.03045544949,350645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-20,21675.0,22508.335607485547,339700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-23,21780.0,22607.99707444303,339700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-24,21920.0,22744.049888456444,339700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-25,22045.0,22864.58833374367,339700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-26,22240.0,23057.7539369211,339700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-27,22410.0,23378.333179679372,334740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-30,22495.0,23455.744217815747,334740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-01,22255.0,23194.59290224304,334740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-02,22230.0,23157.880146424275,334740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-03,22325.0,23246.36699068369,326050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-04,22410.0,23324.57410136817,326050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-07,22090.0,22981.56794526957,326050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-08,22050.0,22930.22492304056,326050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-09,22120.0,22993.454116189758,326050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-10,22385.0,23259.42901136461,345545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-11,22380.0,23244.93149766977,345545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-14,22250.0,23100.837651947124,345545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-15,22070.0,22904.955956711587,345545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-16,22030.0,22854.626221966468,345545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-17,22120.0,22939.30439849594,342740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-18,22295.0,23112.185412942075,342740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-21,22925.0,23756.591998249678,342740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-22,22945.0,23768.77994584404,342740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-23,22975.0,23791.45984210728,342740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-24,23015.0,23824.617871277518,353820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-25,22885.0,23681.972328289805,353820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-28,22645.0,23425.76649197697,353820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-29,22655.0,23428.39738696536,353820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-30,22670.0,23436.32556134485,353820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-31,22345.0,23092.995317561457,338080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-01,22320.0,23139.10325120901,338080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-04,22255.0,23063.940936578627,338080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-05,22380.0,23185.827694861753,338080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-06,22380.0,23178.33279850939,338080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-07,22580.0,23378.06715894333,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-08,22515.0,23303.551445670757,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-11,22590.0,23374.09594922055,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-12,22630.0,23408.549692113098,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-13,22600.0,23370.752200875064,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-14,22480.0,23240.090071700623,347045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-15,22530.0,23285.357695541974,347045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-18,22360.0,23103.44533426725,347045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-19,22205.0,22937.284759439703,347045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-20,22265.0,22993.406235784798,347045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-21,22240.0,22961.90701136146,332890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-22,22275.0,22992.526653760666,332890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-25,22395.0,23111.02584223531,332890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-26,22270.0,22976.28613815841,332890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-27,22310.0,23011.960964040903,332890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-28,22170.0,22862.16026131557,330330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-08-29,22140.0,22826.00292295884,330330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
