window,factor,ic_train,pval_train,n_train
14,f_stock_pct20,0.23753934665648516,0.0013236373792443524,180
14,f_wh_basis,-0.007315364226900166,0.9223583538448382,180
14,f_wh_basis_x_stockpct,0.08982600250233015,0.2304610129705354,180
14,f_oprate_pct20,0.023463634481720685,0.7545483873363803,180
14,f_prod_pct20,0.09112946318532149,0.2237391051435805,180
14,f_cell_pct20,-0.5935581765045493,1.276169922904719e-08,77
15,f_stock_pct20,0.16819252044433658,0.024012991211208798,180
15,f_wh_basis,-0.007583805374335806,0.9195186833520661,180
15,f_wh_basis_x_stockpct,0.07687290116563321,0.30503696380663714,180
15,f_oprate_pct20,0.10835495130236601,0.14765261393747506,180
15,f_prod_pct20,0.21353930622166203,0.003998939101512125,180
15,f_cell_pct20,-0.5990888935032996,9.026327350016621e-11,97
16,f_stock_pct20,-0.09774787287673488,0.19175077288469236,180
16,f_wh_basis,-0.18001373545249091,0.015601817602852232,180
16,f_wh_basis_x_stockpct,0.1877386909861089,0.011612293262706701,180
16,f_oprate_pct20,0.27413354577803145,0.00019620159581417788,180
16,f_prod_pct20,0.29782958764679496,4.896774946216423e-05,180
16,f_cell_pct20,-0.5951998842885389,1.4711739423505285e-12,117
17,f_stock_pct20,-0.27775342860376345,0.00015997891872538824,180
17,f_wh_basis,-0.12510340062549521,0.09426324492720045,180
17,f_wh_basis_x_stockpct,0.2072462150304373,0.005246407427942919,180
17,f_oprate_pct20,0.2616279303524598,0.00038868594210752616,180
17,f_prod_pct20,0.2610187035312008,0.00040151059772328953,180
17,f_cell_pct20,-0.557018542564766,1.5637542034254358e-12,137
18,f_stock_pct20,-0.3060505982694939,2.9383018040045447e-05,180
18,f_wh_basis,-0.15088820711509898,0.0431902735751705,180
18,f_wh_basis_x_stockpct,0.18081020032009568,0.015141468259563804,180
18,f_oprate_pct20,0.22214653339705673,0.0027248425631212466,180
18,f_prod_pct20,0.23939423867458978,0.0012095042655957053,180
18,f_cell_pct20,-0.5732022944841425,4.318160610483722e-15,157
19,f_stock_pct20,-0.23122112822412216,0.0017903225562346838,180
19,f_wh_basis,-0.10651694827131471,0.15468661272959427,180
19,f_wh_basis_x_stockpct,0.24226673662767367,0.0010504381701981493,180
19,f_oprate_pct20,0.2363594345135386,0.0014012795826337469,180
19,f_prod_pct20,0.27882662028395966,0.00015050396713858544,180
19,f_cell_pct20,-0.43011346638989684,2.3035966871901387e-09,177
20,f_stock_pct20,-0.39884358570737777,2.92899551762401e-08,180
20,f_wh_basis,-0.273739378443586,0.00020057680229806595,180
20,f_wh_basis_x_stockpct,0.27649001512392357,0.00017184580673803814,180
20,f_oprate_pct20,0.2136013230046147,0.003988103934395989,180
20,f_prod_pct20,0.298989161451405,4.5606422959887644e-05,180
20,f_cell_pct20,-0.38275371303595845,1.1408218679797258e-07,180
21,f_stock_pct20,-0.49181147566282907,2.3648989896610905e-12,180
21,f_wh_basis,-0.36153339645520205,6.151702934399291e-07,180
21,f_wh_basis_x_stockpct,0.22497607950862678,0.0023944948500465297,180
21,f_oprate_pct20,0.3741493770397474,2.292162380697937e-07,180
21,f_prod_pct20,0.4222219529564618,3.5556201791492122e-09,180
21,f_cell_pct20,-0.48300037264906726,6.558052963736269e-12,180
22,f_stock_pct20,-0.6360916489192053,8.438938533446124e-22,180
22,f_wh_basis,-0.4153594719325362,6.715160845381443e-09,180
22,f_wh_basis_x_stockpct,0.18443984896653187,0.013190540557101227,180
22,f_oprate_pct20,0.20100340386946067,0.0068175638546016095,180
22,f_prod_pct20,0.2602644949706,0.00041793006646500874,180
22,f_cell_pct20,-0.3647056227465592,4.81840323173326e-07,180
23,f_stock_pct20,-0.6845766844655699,3.1421803727557633e-26,180
23,f_wh_basis,-0.22309273959860507,0.0026100419493646173,180
23,f_wh_basis_x_stockpct,0.17634494891817648,0.0178834993582453,180
23,f_oprate_pct20,0.028899659083017767,0.7001567618452869,180
23,f_prod_pct20,0.0928325136116623,0.21516766515303723,180
